Date,Searched_from,ID,Title,Year,Authors,Journal,Pub_type,Citations,References,Abstract
START,START,2766209727,naming speed as a predictive diagnostic measure in reading and attentional problems,2018,"debora areces, trinidad garcia, paloma gonzalezcastro, david alvarezgarcia, celestino rodriguez",child neuropsychology,1,2,42,"ABSTRACTThis study aimed to describe and compare naming speed abilities in children diagnosed with either Reading Learning Difficulties (RLD) or Attention Deficit/Hyperactivity Disorder (ADHD), or comorbidity for both (ADHD+RLD). To examine the explanatory power of naming speed and ADHD symptomatology in predicting group associations (while controlling for gender and age), the “Rapid Automatized Naming and Rapid Alternating Stimulus Tests” (RAN/RAS) were utilized. A sample of 101 children (age range = 5–16 years) was divided into four groups: RLD (n = 14), ADHD (n = 28), comorbid (n = 19), and control (n = 40). There were statistically significant differences in RAN/RAS results among the diagnostic groups. Moreover, discriminant analysis revealed that naming speed tasks significantly predicted reading and attentional problems, especially at earlier ages. These results demonstrate the potential usefulness of RAN/RAS in the diagnosis of reading and attentional problems, particularly if the children are aged..."
START,START,2801678186,preliteracy impairments in children with neurofibromatosis type 1,2018,"shelley s arnold, shelley s arnold, jonathan m payne, jonathan m payne, jennifer lorenzo, kathryn n north, kathryn n north, belinda barton, belinda barton",developmental medicine & child neurology,1,1,23,NA
START,START,2131519171,different brain activation patterns in dyslexic children evidence from eeg power and coherence patterns for the double deficit theory of dyslexia,2007,"martijn arns, sylvia peters",journal of integrative neuroscience,1,36,36,"Aims: QEEG and neuropsychological tests were used to investigate the underlying neural processes in dyslexia. Methods: A group of dyslexic children were compared with a matched control group from the Brain Resource International Database on measures of cognition and brain function (EEG and coherence). Results: The dyslexic group showed increased slow activity (Delta and Theta) in the frontal and right temporal regions of the brain. Beta-1 was specifically increased at F7. EEG coherence was increased in the frontal, central and temporal regions for all frequency bands. There was a symmetric increase in coherence for the lower frequency bands (Delta and Theta) and a specific right-temporocentral increase in coherence for the higher frequency bands (Alpha and Beta). Significant correlations were observed between subtests such as Rapid Naming Letters, Articulation, Spelling and Phoneme Deletion and EEG coherence profiles. Discussion: The results support the double-deficit theory of dyslexia and demonstrate that the differences between the dyslexia and control group might reflect compensatory mechanisms. Integrative Significance: These findings point to a potential compensatory mechanism of brain function in dyslexia and helps to separate real dysfunction in dyslexia from acquired compensatory mechanisms."
START,START,2883635614,examining the double deficit hypothesis in vowelized transparent arabic in a national representative sample of grades 3 and 4,2018,"ibrahim a asadi, michal shany",dyslexia,1,1,70,"We examined the double-deficit hypothesis in Arabic by investigating the reading and cognitive profiles of readers with selective deficits in naming speed, phonological awareness, or both. In a nationally representative sample of 486 children in the third and fourth grades, we identified 171 children with reading difficulties: 20 (12%) were classified as having a phonological deficit, 31 (18%) as having a naming speed deficit, and 41 (24%) as having a double deficit. Differences between the subgroups extended to reading, cognitive, and linguistic processes beyond phonological and naming abilities. Children with a double deficit performed worse than those with a naming speed deficit but similar to those with a phonological deficit. Numerous unconfirmed theories led to an in-depth analysis of the nature of rapid automatized naming and its relation to orthographic processing. Surprisingly, our findings revealed that orthographic processing may be considered a novel and separate core deficit, suggesting a triple deficit in Arabic rather than a double deficit. The findings are discussed in light of the uniqueness and complexity of Arabic orthography and orthographic transparency in the Arabic language."
START,START,1086749534,reading impairment in duchenne muscular dystrophy a pilot study to investigate similarities and differences with developmental dyslexia,2015,"guja astrea, chiara pecini, filippo gasperini, giacomo brisca, marianna scutifero, claudio bruno, filippo m santorelli, giovanni cioni, luisa politano, anna maria chilosi, roberta battini",research in developmental disabilities,1,4,44,"Abstract NA NA Below-average reading performances have been reported in individuals with Duchenne muscular dystrophy (DMD), but literacy problems in these subjects have yet to be characterized. In this study, the presence and characteristics of literacy deficits in boys with DMD were investigated through a comparison with typically developing children and with children affected by developmental dyslexia, with the aim of clarifying whether DMD and developmental dyslexia have overlapping profiles of literacy deficits and whether these deficits are associated, as in children with dyslexia, with impairments in phonological processing and rapid lexical access. NA The results confirmed the high incidence of literacy problems in boys with DMD and revealed a profile less severe than, but qualitatively similar to, that of Italian children with developmental dyslexia. Both groups showed specific difficulties in reading and writing words and a reduced rapid automatized naming (RAN) speed. This is the first time that a RAN speed deficit has been documented in DMD. Moreover, the boys with DMD and the subgroup of dyslexic children with a previous language delay showed additional deficits in phonological processing. NA The impairments highlighted in this study could explain the reading difficulties observed in boys with DMD and suggest that there is a need for targeted preschool interventions."
START,START,2018738300,comorbidity of adhd and reading disability among clinic referred children,1990,"gerald j august, barry d garfinkel",journal of abnormal child psychology,1,239,28,"Of a consecutive series of 115 boys diagnosed in a university outpatient clinic as ADHD, 39% also demonstrated a specific reading disability. Pure ADHD patients were compared with mixed ADHD + RD and normal controls on a battery of cognitive and attentional measures. The aim was to determine whether a distinct pattern of deficits would distinguish the groups. Both ADHD subgroups performed significantly worse than controls on measures of sequential memory and attentional tasks involving impulse control andplanful organization. Only ADHD+RD boys differed from controls on measures or rapid word naming and vocabulary. The reuslts are discussed within the framework of an automatic versus effortful information-processing model."
START,START,1981690173,preschool prediction orthographic and phonological skills and reading,1994,nathlie a badian,annals of dyslexia,1,87,39,"Because of the research demonstrating the roles of phonological awareness, serial naming speed, and orthographic processing in reading, a test of each of these skills was added to a preschool screening battery. The main aim of the study was to determine whether these measures would contribute to the prediction of reading. The 118 subjects were first tested six months before kindergarten entry and were followed up 19 and 24 months later. Each additional screening test made a significant, independent contribution to the prediction of early first grade word reading/spelling, after the contributions of a parent rating of preschool reading ability (PRA), verbal IQ, socio-economic status (SES), and chronological age were accounted for. With letter naming and PRA, the additional tests were responsible for 62 percent of the variance. The orthographic test made the largest single contribution (32%) to the variance in word reading/spelling."
START,START,2095023639,dyslexia a validation of the concept at two age levels,1996,nathlie a badian,journal of learning disabilities,1,46,40,"The 144 participants were administered tasks with a demonstrated relationship to reading. Both older students (8 to 10 years old) and younger students (6 to 7 years old) included three groups of poor readers (matched on word reading but differing in the discrepancy from expected reading level) and age-matched average readers. Older poor readers also had a control group of readingmatched younger subjects. The study provided no support for the concept of dyslexia at age 6 to 7 years. Among older participants there was support for the concept of dyslexia as a phonological deficit and of nondiscrepant garden-variety poor reading as a developmental lag. More discrepant participants with dyslexia exhibited orthographic and serial naming-speed deficits, as well as phonological deficits, and were a distinctive dyslexic group. Less discrepant participants with dyslexia were more similar to gardenvariety poor readers than to the more discrepant participants with dyslexia."
START,START,2152959030,a validation of the role of preschool phonological and orthographic skills in the prediction of reading,1998,nathlie a badian,journal of learning disabilities,1,93,30,"Two cohorts of children were followed to determine whether tests of phonological awareness (Syllable Tapping), orthographic processing (Visual Matching), and serial naming speed (RAN Objects), added to a preschool battery, would improve prediction of reading. The major predictors of first-grade reading and spelling were preschool letter naming and sentence memory for both cohorts, but the orthographic and serial naming tasks added a small amount of additional variance. Sentence memory accounted for the most variance in second-grade reading for both cohorts, and Visual Matching made contributions to reading and spelling for each cohort. Sentence memory, Visual Matching, and color naming together yielded an 87% to 90% hit rate in predicting which individual children would be good or poor readers. The orthographic and serial naming speed tasks are useful additions to a preschool predictive battery, but recommendations are that alternative preschool phonological tasks, not based on syllable recognition, shoul..."
START,START,1996861362,does a visual orthographic deficit contribute to reading disability,2005,nathlie a badian,annals of dyslexia,1,64,59,"In this study, visual-orthographic skills were defined as the ability to recognize whether letters and numerals are correctly oriented. Aims were to investigate whether visual-orthographic skills would contribute independent variance to reading, and whether children with a visual-orthographic deficit would be more impaired readers than similar children without this deficit. Participants were 207 children, aged 8 to 10 years, who attended school in a small suburban community. Because of the evidence that phonological awareness and naming speed are strongly related to reading, visual-orthographic skills were entered into hierarchical regression analyses following these variables. With age, verbal IQ, and verbal short-term memory also controlled, visual-orthographic skills accounted for significant independent variance in all reading measures. When children with a visual—orthographic deficit (29% of the sample) were compared with those without this deficit, they were significantly lower on all reading variables. At 8 to 10 years of age, reading progress of some children continues to be hampered by a problem in orthographic memory for the orientation of letters and numerals. Such children will require special attention, but their problems may be overlooked. As recommended by Willows and Terepocki (1993), there is need for further research on the phenomenon of letter reversals when they occur among children beyond first grade."
START,START,2013960249,anchoring in 4 to 6 year old children relates to predictors of reading,2012,"karen banai, rachel yifat",journal of experimental child psychology,1,8,35,"Abstract NA NA Previous studies suggest that anchoring, a short-term dynamic and implicit process that allows individuals to benefit from contextual information embedded in stimulus sequences, might be causally related to reading acquisition. Here we report findings from two experiments in which two previously untested predictions derived from this anchoring hypothesis were tested: (a) that anchoring facilitates rapid naming and phonological short-term memory in children prior to the onset of formal reading instruction and (b) that anchoring makes a unique contribution to performance in two early predictors of reading (letter knowledge and phonological awareness). In line with those predictions, naming times were faster and memory spans were longer under conditions that encouraged the use of anchoring processes than under conditions that afforded little anchoring. Furthermore, performance in the anchoring-affording condition predicted significant amounts of variance in phonological awareness and letter knowledge even after controlling for the contribution of the conditions that did not afford anchoring. Therefore, we suggest that anchoring might contribute to the development of reading-related processes during the preschool years independent of the development of specific reading-related skills such as phonological processing."
START,START,2181090621,ran translation in huntington disease,2015,"monica banezcoronel, fatma ayhan, alex d tarabochia, tao zu, barbara a perez, solaleh khoramian tusi, olga pletnikova, david r borchelt, christopher a ross, russell louis margolis, anthony t yachnis, juan c troncoso, laura p w ranum",neuron,1,119,38,"Summary NA Huntington disease (HD) is caused by a CAG⋅CTG expansion in the NA huntingtin NA ( HTT ) gene. While most research has focused on the HTT polyGln-expansion protein, we demonstrate that four additional, novel, homopolymeric expansion proteins (polyAla, polySer, polyLeu, and polyCys) accumulate in HD human brains. These sense and antisense repeat-associated non-ATG (RAN) translation proteins accumulate most abundantly in brain regions with neuronal loss, microglial activation and apoptosis, including caudate/putamen, white matter, and, in juvenile-onset cases, also the cerebellum. RAN protein accumulation and aggregation are length dependent, and individual RAN proteins are toxic to neural cells independent of RNA effects. These data suggest RAN proteins contribute to HD and that therapeutic strategies targeting both sense and antisense genes may be required for efficacy in HD patients. This is the first demonstration that RAN proteins are expressed across an expansion located in an open reading frame and suggests RAN translation may also contribute to other polyglutamine diseases."
START,START,2005208906,reading scripts that differ in orthographic transparency a within participant and language investigation of underlying skills,2014,"irit barkochva, zvia breznitz",journal of experimental child psychology,1,10,61,"Abstract NA NA Spelling–sound transparency varies across orthographies. This aspect was found to have implications for the strategy of reading, but whether reading of different orthographies also relies differently on cognitive skills is yet unclear. This question was examined mainly by cross-participant-and-language investigations in which orthographic variation is hard to isolate. This work examined this topic using a within-participant-and-language study design. Hebrew readers in Grades 3 and 4 were longitudinally tested because in these grades they are engaged in reading three forms of script, transcribing the same language and varying in spelling–sound relations, as they gradually progress from reading a transparent orthography to reading an opaque one. Phonological awareness explained a considerable amount of variance in accuracy in reading all forms of script across these two years. The relations of morphological awareness with accuracy in reading the three forms of script were similar; however, the results suggested that these may be associated with the course of transition. Phonological awareness and rapid naming were similarly related to fluency in reading all forms of script when equivalent proficiencies in reading of these scripts were achieved. At this stage, the relations of vocabulary with fluency in reading and comprehension of the transparent and opaque forms of script were also much alike. Phonological memory explained a modest, but significant, amount of variance in comprehension of the unpointed script alone. These results suggest that, apart from phonological memory, the cognitive skills tested in this study serve as a common cognitive infrastructure in reading orthographies varying in spelling–sound transparency."
START,START,2099440934,a model of phonological processing language and reading for students with mild intellectual disability,2013,"r michael barker, rose a sevcik, robin g morris, maryann romski",ajidd american journal on intellectual and developmental disabilities,1,18,57,"Abstract Little is known about the relationships between phonological processing, language, and reading in children with intellectual disability (ID). We examined the structure of phonological processing in 294 school-age children with mild ID and the relationships between its components and expressive and receptive language and reading skills using structural equation modeling. Phonological processing consisted of two distinct but correlated latent abilities: phonological awareness and naming speed. Phonological awareness had strong relationships with expressive and receptive language and reading skills. Naming speed had moderate relationships with these variables. Results suggest that children with ID bring the same skills to the task of learning to read as children with typical development, highlighting the fact that phonologically based reading instruction should be considered a viable approach."
START,START,2118567095,a test of the cerebellar hypothesis of dyslexia in adequate and inadequate responders to reading intervention,2010,"amy e barth, carolyn a denton, karla k stuebing, jack m fletcher, paul t cirino, david j francis, sharon vaughn",journal of the international neuropsychological society,1,14,41,"The cerebellar hypothesis of dyslexia posits that cerebellar deficits are associated with reading disabilities and may explain why some individuals with reading disabilities fail to respond to reading interventions. We tested these hypotheses in a sample of children who participated in a grade 1 reading intervention study ( n NA = 174) and a group of typically achieving children ( n NA = 62). At posttest, children were classified as adequately responding to the intervention ( n NA = 82), inadequately responding with decoding and fluency deficits ( n NA = 36), or inadequately responding with only fluency deficits ( n NA = 56). Based on the Bead Threading and Postural Stability subtests from the Dyslexia Screening Test-Junior, we found little evidence that assessments of cerebellar functions were associated with academic performance or responder status. In addition, we did not find evidence supporting the hypothesis that cerebellar deficits are more prominent for poor readers with “specific” reading disabilities (i.e., with discrepancies relative to IQ) than for poor readers with reading scores consistent with IQ. In contrast, measures of phonological awareness, rapid naming, and vocabulary were strongly associated with responder status and academic outcomes. These results add to accumulating evidence that fails to associate cerebellar functions with reading difficulties. ( JINS , 2010, NA 16 , 526–536.)"
START,START,2058212072,past tense marking in the spontaneous speech of preschool children who do and do not stutter,2012,"jessica bauman, nancy e hall, stacy a wagovich, christine weberfox, nan bernstein ratner",journal of fluency disorders,1,6,52,"Abstract NA NA Purpose NA The aim of this study was to identify whether different patterns of errors exist in irregular past-tense verbs in children who stutter (CWS) and children who do not stutter (CWNS). NA NA NA Method NA Spontaneous language samples of thirty-one age- and gender-matched pairs of children (total NA N  = 62) between the ages of 24 months and 59 months were analyzed. NA NA NA Results NA Results indicated that children who do and do not stutter over-regularize irregular past-tense verbs (i.e., saying runned for ran) with comparable frequency. However, two nonsignificant trends which suggest possible intra-group differences were noted. First, irregular past tense verbs represented a greater portion of total verbs for CWS than for CWNS. Second, CWS appeared to double-mark (i.e., say ranned for ran) more often than CWNS. Results are discussed in light of theories about the acquisition of the irregular past-tense and about differences in language skills between CWS and CWNS. NA NA NA NA Educational objectives NA : After reading this article, the reader will be able to: (a) summarize previous findings about connections between stuttering and language in CWS and CWNS; (b) describe similarities and differences between irregular past-tense verb use and errors in CWS and CWNS; (c) discuss possible connections between the declarative–procedural model and stuttering."
START,START,2103785967,methylphenidate improves stroop naming speed but not response interference in children with attention deficit hyperactivity disorder,2002,"anneclaude v bedard, abel ickowicz, rosemary tannock",journal of child and adolescent psychopharmacology,1,54,44,"Objective: The goal of this study was to investigate the effect of methylphenidate (MPH) on response interference, as measured by the Stoop Color and Word Test, in children with attention deficit hyperactivity disorder (ADHD). Response interference is a core component of response inhibition that has been shown to be impaired in children with ADHD. Methods: A clinic-referred sample of school-aged children with a confirmed Diagnostic and Statistical Manual of Mental Disorders (4th ed.) diagnosis of ADHD and good reading skills (n = 31) completed the Stroop Color and Word Test in an acute, randomized, placebo-controlled, crossover trial with three single fixed doses of MPH. Results: MPH did not improve response interference on the Stroop Color and Word Test but did significantly improve color naming and word naming abilities. Conclusion: Response interference, as measured by the Stroop Color and Word Test, is not improved by MPH in children with ADHD. In addition, findings demonstrate strongly positive MPH e..."
START,START,1972133417,toward a research based assessment of dyslexia using cognitive measures to identify reading disabilities,2003,"sherry mee bell, r steve mccallum, elizabeth a cox",journal of learning disabilities,1,76,14,"One hundred five participants from a random sample of elementary and middle school children completed measures of reading achievement and cognitive abilities presumed, based on a synthesis of current dyslexia research, to underlie reading. Factor analyses of these cognitive variables (including auditory processing, phonological awareness, short-term auditory memory, visual memory, rapid automatized naming, and visual processing speed) produced three empirically and theoretically derived factors (auditory processing, visual processing/speed, and memory), each of which contributed to the prediction of reading and spelling skills. Factor scores from the three factors combined predicted 85% of the variance associated with letter/sight word naming, 70% of the variance associated with reading comprehension, 73% for spelling, and 61% for phonetic decoding. The auditory processing factor was the strongest predictor, accounting for 27% to 43% of the variance across the different achievement areas. The results prov..."
START,START,2149386455,contrast responsivity in mt correlates with phonological awareness and reading measures in children,2007,"michal benshachar, robert f dougherty, gayle k deutsch, brian a wandell",neuroimage,1,38,89,"There are several independent sets of findings concerning the neural basis of reading. One set demonstrates a powerful relationship between phonological processing and reading skills. Another set reveals a relationship between visual responses in the motion pathways and reading skills. It is widely assumed that these two findings are unrelated. We tested the hypothesis that phonological awareness is related to motion responsivity in children's MT+. We measured BOLD signals to drifting gratings as a function of contrast. Subjects were 35 children ages 7–12 years with a wide range of reading skills. Contrast responsivity in MT+, but not V1, was correlated with phonological awareness and to a lesser extent with two other measures of reading. No correlation was found between MT+ signals and rapid naming, age or general IQ measures. These results establish an important link between visual and phonological processing in children and suggest that MT+ responsivity is a marker for healthy reading development."
START,START,2167532973,the relationship between attention executive functions and reading domain abilities in attention deficit hyperactivity disorder and reading disorder a comparative study,2007,"barbara bental, emanuel tirosh",journal of child psychology and psychiatry,1,110,26,"Background:  Co-morbidity of attention deficit hyperactivity disorder (ADHD) and reading disorder (RD) is frequent. The objective of this investigation was to assess the potential uniqueness of co-morbid ADHD + RD and extend existing findings to the Hebrew language.



Method:  A parallel group design with post-hoc analysis of group differences was employed comparing four groups of children (19 ADHD, 17 RD, 27 ADHD + RD, and 23 controls) on reading measures, attention and executive functions (EF) as well as functions of phonemic awareness and rapid naming. Forward stepwise regressions were run in order to delineate significant relationships between phonemic awareness, rapid naming, attention and EF with outcome variables of reading.



Results:  The co-morbid group shared the basic characteristic impairments in attention and executive functions with the pure ADHD group and in reading domain functions with the pure RD group. In addition, this group showed unique deficits in rapid naming and a more severe impairment in working memory. Forward stepwise regression pointed to associations between executive functions and word reading accuracy in children with ADHD, in contrast to associations between linguistic functions and word accuracy in non-ADHD.



Conclusion:  The combination of cognitive deficits in the subgroup of children with both ADHD and RD and the relationship between accuracy in word decoding and executive functions shown for the ADHD groups point to a distinct clinical profile of the co-morbid condition. Attention and EF should be considered in the diagnosis of RD and in the remediation protocol."
START,START,2078803926,the effects of methylphenidate on word decoding accuracy in boys with attention deficit hyperactivity disorder,2008,"barbara bental, emanuel tirosh",journal of clinical psychopharmacology,1,27,23,AbstractThe investigation aimed to delineate the immediate effect of methylphenidate on decoding in the comorbid condition of attention-deficit/hyperactivity disorder and reading disorder. Boys with attention-deficit/hyperactivity and reading disorders (n = 25) between the ages of 7.9 and 11.7 years
START,START,2026699000,early intervention for reading disabilities teaching the alphabet principle in a connectionist framework,1999,"virginia w berninger, robert d abbott, dori zook, stacy ogier, zenia lemosbritton, rebecca brooksher",journal of learning disabilities,1,50,26,"Forty-eight children referred by teachers at the end of first grade for difficulty in reading were randomly assigned to three treatments, all of which modeled connections between written and spoken words but did not teach phonics rules, for eight half-hour individual tutoring sessions. The children were taught 48 words of varying orders of spelling-sound predictability (Venezky, 1995) using a whole-word method, for making connections between a word's name and its constituent letters; a subword method, for making connections between each color-coded spelling unit and its corresponding phonemes; or a combined whole-word and subword method. Regardless of the method used, children improved reliably on standardized reading measures and the taught words, showing that they could make connections between written and spoken words at the whole word and subword levels, even when rules were not taught. By posttest, the subword method showed a reliable advantage on a standardized test of real word reading. Knowledge o..."
