,uid,title,pubyear,doi,journal,authors,abstract
10,36321304,parental involvement and the influence of parents prior literacy experiences,2014,,,Joseph Dobucki,
11,40447994,estado actual de la evaluacion de los predictores y de las habilidades relacionadas con el desarrollo inicial de la lectura,2006,,,Pilar Sellés Nohales,"Este trabajo se centra en la prevencion temprana de las dificultades lectoras. En primer lugar, tras una revision exhaustiva de la investigacion, pretende determinar cuales son los predictores y facilitadores a la lectura que van a favorecer una adquisicion exitosa de la misma. A continuacion se analizan las pruebas de evaluacion del inicio de la lectura publicadas en Espana en relacion a los precursores detectados. El articulo sirve como guia informativa para los profesionales de la educacion, puesto que recoge y vaolra las pruebas existentes sobre el inicio de la lectura. Ademas determina el estado actual de la investigacion en este area y porpone nuevas lineas de trabajo. En concreto plantea la necesidad de disenar nuevas pruebas que evaluen de forma conjunta las habilidades relacionadas con el desarrollo inicial de la lectura, y sean capaces de detectar a los ninos que pueden tener dificultades en el acceso a la misma."
12,44373975,the journal of speech language pathology and applied behavior analysis,2006,,,"Vincent J. Carbone, Lisa Lewis, Emily J. Sweeney, Julie Dixon, Susan Quinn",
13,47752008,advancing spoken and written language development in children with childhood apraxia of speech,2007,,,Brigid McNeill,
14,48192459,what do we know about joint attention in shared book reading an eye tracking intervention study,2011,,,Jia Guo,
15,50468259,evaluating the relationship among parents oral and written language skills the home literacy environment and their preschool children s emergent literacy skills,2011,,,Nicole A. Taylor,
16,50998119,kindergarten phonological awareness and rapid serial naming as predictors of grade 2 reading and spelling,2002,10.1007/978-1-4615-1011-6_18,,J. K. Uhry,
17,52560609,examination of reading outcomes relative to speech intelligibility index in children with hearing loss implications for pediatric cochlear implant candidacy,2014,,,Lauren Maureen Dowdy,
18,53691910,the use of intelligence tests in the diagnosis of specific reading disability,2015,10.1007/978-1-4939-1562-0_26,,"Nancy Mather, Deborah Schneider",
19,54316143,developpement du langage et impacts sur le developpement psychosocial et affectif des enfants,2005,,,Joseph H. Beitchman,
20,55465148,utformning och utprovning av ett fonologiskt baserat stavningstest,2013,,,"Kristina Andersson, Maja Prembäck","The literature on spelling and spelling development suggests there is a strong relationship between spelling and phonology (Bruck & Treiman, 1990; Caravolas, Hulme & Snowling, 2001; Craig, ..."
21,58714119,dyslexia is more than a phonological disability,1995,,,"Roderick I. Nicolson, Angela J. Fawcett",
22,61898277,efectos de la intervencion en conciencia fonologica y velocidad de denominacion sobre el aprendizaje de la escritura,2015,10.1016/j.aula.2014.06.001,,"Rosa María González, Fernando Cuetos, Juan Vilar, Eva Uceira","a b s t r a c t The aim of this research was to analyze the causal effect that intervention on phonological awareness and naming speed could have on learning to write. A total of 271 students participate (138 experimental group and 133 control group). The experimental group received instructions on phonological awareness and naming speed throughout three courses, and the control group followed the official curriculum. The instructions given to students of pre-school education (4 and 5 years old) and first grade of primary school (6 years old), were evaluated in writing with standardized test three years later. The experimental group obtained higher scores than the control group in the phonological and rapid naming tasks. And more interesting, the experimental group obtained better results in writing tasks. These results have important theoretical implications, as they show the relationship between phonological awareness and naming speed in learning to write. There are also educational implications, since it provides guidelines to facilitate the learning of writing in the classroom."
23,62550980,sprachliche voraussetzungen fur den erwerb von lesen und schreiben,2013,10.1007/978-3-531-18947-5_3,,Agi Schründer-Lenzen,
24,64172575,mother child literacy activities and early literacy in the israeli arab family,2014,10.1007/978-94-017-8545-7_15,,"Ofra Korat, Dorit Aram, Safieh Hassunha-Arafat, Elinor Saiegh-Haddad, Himat Hag-Yehiya Iraki",
25,66037855,school family partnership and early learning the role of school outreach and family involvement in preschoolers literacy and learning related social skills,2008,,,Annemarie Horton Hindman,
26,74988415,short term and working memory in children with specific language impairment,2006,,,Lisa M. D. Archibald,"Investigations of the cognitive processes underlying Specific Language Impairment (SLI) have implicated deficits in the storage and processing of phonological or verbal information. This thesis reports five studies that investigated the role of short-term and working memory in children with SLI. Study 1 demonstrated SLI deficits on measures of verbal working memory, and short-term memory for verbal but not visuospatial information. Study 2 provided evidence that children with SLI perform at age-level on visuospatial working memory measures. Study 3 demonstrated slower processing in the SLI group across domains, as well as verbal storage decrements, with the greatest deficits found for tasks tapping both of these. Study 4 found SLI deficits on measures of nonword repetition in common use, with greater impairments on the task that relied to a lesser extent on short-term memory. Study 5 established more accurate recall for multisyllabic nonwords than matched single syllable lists for all groups, although the SLI group showed different patterns of phoneme retention. It is suggested that the combination of deficits in generalized processing speed and verbal storage in SLI may be expected to have a drastic and detrimental impact on learning, and provides an account of the disorder that could encompass the range of impairments observed in SLI. The findings also suggest that factors additional to short-term memory contribute to poor nonword repetition in SLI."
27,75269822,preschoolers with speech and language impairment case studies from a teacher delivered phonological awareness program,2013,,,Katherine J. Wickham,
28,81661867,children with cochlear implants cognition and reading ability,2009,,,Malin Wass,The present thesis investigated cognitive ability in children with severe to profound hearing impairment who have received cochlear implants (CIs). The auditory stimulation from a cochlear implant ...
29,81696780,relacoes entre variaveis psicossociais e cognitivas e o desempenho em leitura em criancas de uma coorte populacional,2010,,,Luciane da Rosa Piccolo,
30,87695707,a genomewide scan identifies two novel loci involved in specific language impairment,2002,10.1086/338649,American Journal of Human Genetics,"Dianne F. Newbury, J. D. Cleak, Yumiko Ishikawa-Brush, Angela J. Marlow, Simon E. Fisher, Anthony P. Monaco, Carol Stott, M. J. Merricks, Ian M. Goodyer, Patrick Bolton, L. Jannoun, Vicky Slonims, Gillian Baird, Andrew Pickles, Dorothy V. M. Bishop, Gina Conti-Ramsden, Peter J. Helms","Approximately 4% of English-speaking children are affected by specific language impairment (SLI), a disorder in the development of language skills despite adequate opportunity and normal intelligence. Several studies have indicated the importance of genetic factors in SLI; a positive family history confers an increased risk of development, and concordance in monozygotic twins consistently exceeds that in dizygotic twins. However, like many behavioral traits, SLI is assumed to be genetically complex, with several loci contributing to the overall risk. We have compiled 98 families drawn from epidemiological and clinical populations, all with probands whose standard language scores fall > or =1.5 SD below the mean for their age. Systematic genomewide quantitative-trait-locus analysis of three language-related measures (i.e., the Clinical Evaluation of Language Fundamentals-Revised [CELF-R] receptive and expressive scales and the nonword repetition [NWR] test) yielded two regions, one on chromosome 16 and one on 19, that both had maximum LOD scores of 3.55. Simulations suggest that, of these two multipoint results, the NWR linkage to chromosome 16q is the most significant, with empirical P values reaching 10(-5), under both Haseman-Elston (HE) analysis (LOD score 3.55; P=.00003) and variance-components (VC) analysis (LOD score 2.57; P=.00008). Single-point analyses provided further support for involvement of this locus, with three markers, under the peak of linkage, yielding LOD scores >1.9. The 19q locus was linked to the CELF-R expressive-language score and exceeds the threshold for suggestive linkage under all types of analysis performed-multipoint HE analysis (LOD score 3.55; empirical P=.00004) and VC (LOD score 2.84; empirical P=.00027) and single-point HE analysis (LOD score 2.49) and VC (LOD score 2.22). Furthermore, both the clinical and epidemiological samples showed independent evidence of linkage on both chromosome 16q and chromosome 19q, indicating that these may represent universally important loci in SLI and, thus, general risk factors for language impairment"
31,97954825,the effects of interactive writing instruction on kindergarten students acquisition of early reading skills,2008,,,Cindy D. Jones,
32,98872000,evaluation of early head start effect of income and education on cognitive development of children prior to age three,2010,,,Patrick Meehan,
33,98969406,new probes for early literacy skills,2009,,,Mary Kristina Groce,
34,99839419,ist es berechtigt zwischen basaler und hoherer phonologischer verarbeitung bei grundschulkindern zu unterscheiden,2011,10.1007/s00106-011-2378-9,Hno,"M. Ptok, F. Altwein","Hintergrund
Die phonologische Verarbeitung umfasst verschiedene sensorische, perzeptive und kognitive Schritte. Fur die klinisch-praktische Testung bietet es sich an, zwischen basaler und hoherer phonologischer Verarbeitung zu unterscheiden. Nur bei Letztgenannter ist ein bewusstes Operieren mit Sprachlauten erforderlich. Anhand von Daten klinischer Untersuchungen sollte untersucht werden, ob die Differenzierung zwischen basaler phonologischer Verarbeitung (bpV) und hoherer phonologischer Verarbeitung (hpV) gerechtfertigt ist."
35,101887732,assessing early literacy on the importance of a clear definition,2001,,,Monique Senechal,
36,102962454,toward an understanding of phonological awareness,1997,10.1007/978-94-017-1197-5_2,,"Hugh W. Catts, Kim A. Wilcox, Carla Wood-Jackson, Linda S. Larrivee, Victoria G. Scott",
37,104118262,summer sound camp involving parents in early literacy intervention for children with speech and language delays,2003,,Teaching Exceptional Children,"Stephanie Al Otaiba, Susan M. Smartt",
38,105531284,a longitudinal study of early english immersion and literacy in xi an china,2010,,,Ellen Shipley Knell,
39,108978593,supporting vulnerable learners in the primary grades strategies to prevent early school failure,2003,,,"Melissa Stormont, Linda Espinosa, Nancy Knipping, Rebecca B. McCathren",
40,111860990,early prevention of learning disabilities comments on lyytinen and erskine and fuchs,2006,,,Ruth Fielding-Barnsley,"In their overview of early identification and prevention of reading difficulty, Lyytinen and Erskine highlight the important issue of unresolved learning difficulties and the subsequent lack of motivation resulting from failure. Without adequate and effective treatment, only a minority of children with reading difficulties achieve satisfactory levels of reading. It is therefore imperative that we understand, design and evaluate the optimum approaches for these children."
41,111934565,contributions of phonology orthography and morphology in chinese english biliteracy acquisition a one year longitudinal study,2014,10.1007/978-94-007-7380-6_10,,"Min Wang, Candise Y. Lin, Chen Yang",
42,122038565,phonological awareness instruction opinions and practices of educators and speech language pathologists in west virginia,2006,,,Melinda J. Daniel,
43,122935328,prereading deficits in children in foster care,2011,,School Psychology Review,"Katherine C. Pears, Cynthia V. Heywood, Hyoun K. Kim, Philip A. Fisher","Children in foster care fare worse than their peers on many indicators of academic adjustment, exhibiting high rates of special education placement, discipline referrals, and school dropout (e.g., Scherr, 2007; Zima et al., 2000). Children in foster care also lag significantly behind their peers in reading, writing, numeracy, and language (Mitic & Rimer, 2002) and perform significantly worse on measures of academic and socioemotional adjustment compared to children from low socioeconomic backgrounds (Pears, Fisher, Bruce, Kim, & Yoerger, in press). This poor performance does not appear to be solely attributable to unique risk factors often found in children in foster care. For example, Fantuzzo and Perlman (2007) found that, even when other risk factors (e.g., birth and poverty risks) were controlled, being in out-of-home care significantly and independently predicted poor academic and behavioral adjustment for children in second grade.

Given the elevated risks for poor school adjustment among children in foster care, there is a need for research on the potential early precursors of school difficulties with this population. Additional knowledge about the reading development of children at risk for academic failure because of foster care placements could expand the scientific knowledge base about academic skill development in general, and could also allow service providers to tailor preventive intervention services to the needs of such populations (Justice, Invernizzi, Geller, Sullivan, & Welsch, 2005). Because child welfare agencies often have limited resources for screening and intervention services for children in foster care (Zima et al., 2000), such targeted interventions could aid agencies in maximizing resources to increase the chances of better school outcomes for these children.

Early reading skills are an important predictor of later academic and behavioral adjustment in the general population. Children who struggle with reading in the first and second grades are likely to exhibit difficulties into middle and high school (e.g., Cunningham & Stanovich, 1998). Poor reading skills have also been linked to behavioral difficulties at school, which may increase the likelihood of problems such as antisocial behavior and juvenile delinquency (Halonen, Aunola, Ahonen, & Nurmi, 2006). In one of the few studies to examine reading skills in school-aged children in foster care, Fantuzzo and Perlman (2007) suggested that children in out-of-home placements show markedly poorer reading skills than their peers as early as second grade. Reading difficulties may already be well-established by the second grade (Al Otaiba & Fuchs, 2006); thus, identifying risk factors for poor reading prior to school entry might help in preventing later problems.

To date, there are no published studies on prereading skills in children in foster care prior to school entry, and research regarding early screening could aid intervention efforts to prevent subsequent difficulties in this population. The prereading skills considered in this study have been linked to later reading abilities in the general population. In kindergarten, phonological awareness (i.e., the ability to distinguish sounds in words) predicts better reading outcomes across the early school years, and alphabetic understanding (i.e., the ability to recognize letters) is linked to well developed or deficit reading skills (National Institute for Literacy, 2009). General language skills also appear to be important to later reading abilities, particularly reading comprehension (e.g., Catts, Fey, Zhang, & Tomblin, 1999). Based on the deficits observed in the later academic functioning of children in foster care (Mitic & Rimer, 2002), we hypothesize that the children in our study would perform more poorly on measures of prereading skills as compared to the general population.


Schatschneider, Fletcher, Francis, Carlson, and Foorman (2004) noted that there was little agreement in the literature on the relative importance of specific prereading skills in predicting later reading abilities. Additionally, different prereading skills may be differentially important for specific populations to outcomes, and could be effective targets for intervention (Al Otaiba & Fuchs, 2006). We can best pinpoint those targets by testing such associations within particular populations such as children in foster care. In this study, we examined associations between prereading skills in children in foster care and teacher-rated early literacy skills in kindergarten, while controlling for the other prereading skills and an estimate of general intelligence. The following research questions guided the study: 


How do the prereading skills of children in foster care compare to those of general population children?


To what extent are particular prereading skills more important than others in predicting teacher-rated early literacy skills in kindergarten for children in foster care?"
44,126732621,curriculum based oral reading fluency norms for students in grades 2 through 5,1992,10.1177/004005999202400310,Teaching Exceptional Children,"Jan E. Hasbrouck, Gerald Tindal",
45,126982582,tier ii reading interventions research study,2008,,,C. Lee Goss,
46,137419085,central auditory processing and language learning impairments implications for neuroplasticity research,2005,10.1007/0-387-23181-1_36,,"Paula Tallal, R. Holly Fitch",
47,137626100,chapter 10 assessment and interventions for english language learners with learning disabilities,2012,10.1016/B978-0-12-388409-1.00010-2,,"Esther Geva, Katherine Herbert","This chapter focuses on children and youth whose challenges navigating English school systems in a second language (L2) are compounded by having learning disabilities (LD). English Language Learners (ELLs) with LD represent a vulnerable group of students, whose difficulties are frequently misunderstood, misattributed, or simply missed. This chapter introduces theoretical perspectives on L2 development, touching on topics such as cross-language transfer, and the development of basic vs. academic language proficiency. Research concerning the relevance of LD subtypes (i.e., “poor decoders” and “poor comprehenders”) to ELLs is discussed. Issues related to assessment are analyzed, focusing on how to tease apart expected L2 development from an ELL-LD profile. The chapter concludes with suggestions for educational interventions for ELLs with LD. We argue that in spite of the challenges, ELLs who may have an LD should be entitled to research-based, well-informed, culturally-sensitive assessment that can lead to appropriate educational intervention."
48,141629668,chapter 3 language processes and reading disabilities,2004,10.1016/B978-012762533-1/50006-8,,Maureen Hoskyn,"Publisher Summary
This chapter focuses on language processes and reading disabilities in children and future challenges for researchers in the field. To have linguistic competence in a language, children are required to know about the component rule systems that govern language form and content. To have communicative competence, children must also know how to make language function or work for them during social interaction. While linguists agree that meaningful language is bound by a system of structural rules, there is no consensus among investigators on how children acquire knowledge of the regulatory system. A common feature of both continuity and maturation theories is that switch-setting occurs during critical periods of brain development and after a specific point in time, acquiring a first language becomes more difficult, if not impossible. Learning to read an alphabetic language draws on children's knowledge of language form, content, and use within the cultural context in which they live."
49,146353584,an examination of the perceptions of educational leaders on the ensuring literacy for all initiative s impact on student reading achievement in louisiana,2013,,,Khanh Kim Nguyen-Dufour,"The purpose of this qualitative phenomenological study was to examine the experiences of Louisiana’s Ensuring Literacy For All (ELFA) initiative from the perspective of educational administrators in order to identify: (a) the factors within ELFA that contributed to student reading performance; (b) the effects of the perceptions of ELFA administrators on student achievement; and (c) the components of effective leadership that attributed to the success of ELFA implementation. Bandura‘s (1993) socio-psychological theory of self efficacy was used to frame this study, which included six ELFA administrators from the state, district, and school level. The five findings of this study revealed the following: (1) high quality job-embedded professional development strengthened teachers’ capacity to achieve a shared purpose; (2) efficacious ELFA leaders believed that they could alter their school culture and increase student achievement, despite having a low performing student population; (3) the gradual elimination of funds detrimentally impacted all levels of governance and created a snowball effect that ultimately decreased student achievement; (4) the urgency to help students read on grade level ignited a willingness for ELFA educators to trust each other; and (5) the standardization of practices resulted in a common language that ELFA leaders used to produce results, ensure compliance, and build teacher capacity. This study revealed that ELFA leaders believed that they could overcome challenges such as having a low performing student population and obstacles such as shortage of funding and low parental involvement. The ELFA leaders’ self efficacy beliefs directly impacted their actions and behaviors as well as those under their supervision."
50,151561889,classification of language and literacy skills in first grade latent profiles class membership stability and underlying predictors,2012,,,Julia Ai Cheng Lee,
51,155632757,rapid automatized naming and reading ability,2008,,,Rebecca Eisenberg McCartney,
52,159953106,familial aggregation of dyslexia phenotypes,2000,10.1023/A:1002700605187,Behavior Genetics,"Wendy H. Raskind, Li Hsu, Virginia W. Berninger, Jennifer B. Thomson, Ellen M. Wijsman","There is evidence for genetic contributions to reading disability, but the phenotypic heterogeneity associated with the clinical diagnosis may make identification of the underlying genetic basis difficult. In order to elucidate distinct phenotypic features that may be contributing to the genotypic heterogeneity, we assessed the familial aggregation patterns of Verbal IQ and 24 phenotypic measures associated with dyslexia in 102 nuclear families ascertained through probands in grades 1 through 6 who met the criteria for this disorder. Correlations between relatives were computed for all diagnostic phenotypes, using a generalized estimating equation (GEE) approach. GEE is a recently developed semiparametric method for handling correlated data. The method is robust to model misspecification and flexible in adjusting for the subjects' characteristics and pedigree sizes as well as for the ascertainment process, while estimating the correlations between related subjects. The Nonword Memory (NWM) subtest of a prepublication version of the Comprehensive Test of Phonological Processing (CTOPP) and Phonemic Decoding Efficiency (PDE) subtest of a prepublication version of the Test of Word Reading Efficiency (TOWRE) showed correlation patterns in relatives that are strongly supportive of a genetic basis. The Wechsler Scale Digit Span, the Word Attack subtest of the Woodcock Reading Mastery Test—Revised, and the Spelling subtest of the Wide Range Achievement Test—Third Edition had slightly weaker evidence of a genetic basis. Five additional phenotypes (the Spelling subtest of the Wechsler Individual Achievement Test, the Accuracy, Rate, and Comprehension subtests of the Gray Oral Reading Test—Third Edition, and Rapid Automatized Naming of Letters and Numbers) gave suggestive evidence of such a pattern. The results cross-validate in that evidence for a pattern consistent with a genetic basis was obtained for two measures of phonological short-term memory (CTOPP Nonword Memory and WISCIII or WAIS-R Digit Span), for two measures of phonological decoding (WRMT-R Word Attack and TOWRE Phonemic Decoding Efficiency), and for two measures of spelling from dictation (WRAT-3 Spelling and, to a lesser extent, WIAT Spelling). These measures are thus good candidates for more sophisticated segregation analyses that can formulate models for incorporation into linkage analyses."
53,162354322,the contribution of listening and speaking skills to the development of phonological processing in children who use cochlear implants,2006,,,Linda Jean Spencer,
54,165495879,the influence of child parent and child teacherrelationships on the academic performance ofchildren aged 10 12 years,2011,,,Kate Ellen Screen,"Academic performance is an important aspect of functioning for all children,
particularly during late childhood with the pending transition to high school and subsequent
increase in academic demands. Research suggests that it is important for children in late
childhood to achieve academically not only to aid their learning as schooling progresses,
but also to reduce the likelihood of a range of short and long-term negative outcomes.
Factors which affect academic performance have been explored in previous
research, however there has been limited research attention given to how children’s
relationships in late childhood may influence academic outcomes. While it is recognised
that parents and teachers play important roles in children’s lives, and that teachers play a
leading role in relation to children’s acquisition of academic skills and knowledge, the level
of influence these key relationships have on academic performance scores in late childhood
is largely unknown.
The current study investigated the effect of Child-Parent and Child-Teacher
Attachment relationships on academic performance."
55,167753233,towards a universal model of reading investigations into persian monolingual and english persian bilingual speakers,2013,,,Amir Sadeghi,
56,180997131,early academic performance in children with cleft lip and or palate,2002,,,Krista LeAnna Lowe,
57,181001322,phonic analysis training and beginning reading skills,1971,,,Jerome Rosner,
58,183040676,chapter 16 cognitive and linguistic dynamics of reading remediation,2015,10.1016/B978-0-12-410388-7.00016-6,,"Timothy C. Papadopoulos, Christiana Ktisti, Christoforos Christoforou, Maria Loizou","In this chapter, we discuss how the strong foundations of the PASS theory have paved the way for the emergence of remedial applications, such as PREP (PASS Reading Enhancement Program; Das, Mishra, & Pool, 1995). In addition, we review and compare PREP to a remedial program with a more phoneme-code focus (Graphogame; Lyytinen, Erskine, Kujala, Ojanen, & Richardson, 2009), with the aim of examining the type of early intervention most useful for reading problems. We report preliminary findings from a study investigating the efficacy of PREP and Graphogame and their combined effects on children with reading difficulties learning to read in Greek. The chapter closes with a proposal of a novel generic framework for analyzing microgenetic data that helps explore the learning progress dynamics and developmental stages of the readers during intervention."
59,185459480,dyslexia neurodevelopmental basis,2009,10.1016/B978-008045046-9.00497-6,,"G.F. Eden, D.L. Flowers","Developmental dyslexia, which affects in the range of 5–12% of the population, is a condition in which children who receive regular reading instruction and who possess typical intellectual skills show significant difficulties in the decoding of written text and hence impeded ability to extract meaning. Difficulties in phonological coding have been shown to be a core deficit in children with dyslexia. In addition, there exists a large corpus of research indicating a variety of deficits in sensorimotor performance. Genetic and brain imaging studies support biological aberrations within these disparate domains. The most promising avenues for treatment reside in behavioral interventions involving language, the precise benefits of which continue to be investigated."
60,186219938,does reading to children enhance their educational success,2013,10.1007/s12187-012-9174-2,Child Indicators Research,"Oliver Klein, Irena Kogan","Drawing on two unique German datasets, we explore the possible short- and long-term effects that reading aloud in early childhood has on children’s language abilities, their reading behavior, and their school marks in kindergarten and at the end of both primary and secondary school. By applying propensity score matching, we found a positive effect of reading on the language abilities of preschool children and of students at the end of primary school. Additionally, a high frequency of reading to children in early childhood positively affects their own reading behavior. However, differences in reading in early childhood appear to be unrelated to school marks in the subject of German language at the end of primary school. Furthermore, we found no long-term effects of reading among secondary school leavers. Overall, our results confirm positive immediate and mid-term effects, but hardly any long-term effects, of reading to children during their early childhood."
61,191026786,examination of an assessment informed instructional consultation process implemented with junior primary school teachers,2010,,,Jane Thurlow,
62,193232596,towards a more universal understanding of the developmental dyslexias the contribution of orthographic factors,1994,10.1007/978-94-017-3492-9_5,,"Maryanne Wolf, Claudia Pfeil, Ruth Lotz, Kathleen Biddle",
