Key,ID,Title,Year,Author,Pub_Type
KAWWGW4W,1996861362,does a visual orthographic deficit contribute to reading disability,2005,"Badian, Nathlie A.",1
ANKBHL3G,2013960249,anchoring in 4 to 6 year old children relates to predictors of reading,2012,"Banai, Karen; Yifat, Rachel",1
HQNPJJIR,2181090621,ran translation in huntington disease,2015,"Banez-Coronel, Monica; Ayhan, Fatma; Tarabochia, Alex D.; Zu, Tao; Perez, Barbara A.; Tusi, Solaleh Khoramian; Pletnikova, Olga; Borchelt, David R.; Ross, Christopher A.; Margolis, Russell L.; Yachnis, Anthony T.; Troncoso, Juan C.; Ranum, Laura P. W.",1
Q23F5EMT,2005208906,reading scripts that differ in orthographic transparency a within participant and language investigation of underlying skills,2014,"Bar-Kochva, Irit; Breznitz, Zvia",1
3P46ZRLX,2099440934,a model of phonological processing language and reading for students with mild intellectual disability,2013,"Barker, R. Michael; Sevcik, Rose A.; Morris, Robin D.; Romski, Maryann",1
5HXI8B8E,2118567095,a test of the cerebellar hypothesis of dyslexia in adequate and inadequate responders to reading intervention,2010,"Barth, Amy E.; Denton, Carolyn A.; Stuebing, Karla K.; Fletcher, Jack M.; Cirino, Paul T.; Francis, David J.; Vaughn, Sharon",1
J2ADXKDW,2058212072,past tense marking in the spontaneous speech of preschool children who do and do not stutter,2012,"Bauman, Jessica; Hall, Nancy E.; Wagovich, Stacy A.; Weber-Fox, Christine M.; Ratner, Nan Bernstein",1
2KQJVQZB,2103785967,methylphenidate improves stroop naming speed but not response interference in children with attention deficit hyperactivity disorder,2002,"Bedard, Anne-Claude; Ickowicz, Abel; Tannock, Rosemary",1
KJW2TU2I,1972133417,toward a research based assessment of dyslexia using cognitive measures to identify reading disabilities,2003,"Bell, Sherry Mee; McCallum, R. Steve; Cox, Elizabeth A.",1
QRLDKB7D,2149386455,contrast responsivity in mt correlates with phonological awareness and reading measures in children,2007,"Ben-Shachar, Michal; Dougherty, Robert F.; Deutsch, Gayle K.; Wandell, Brian A.",1
4JNMET42,2167532973,the relationship between attention executive functions and reading domain abilities in attention deficit hyperactivity disorder and reading disorder a comparative study,2007,"Bental, Barbara; Tirosh, Emanuel",1
U68NMV4Z,2078803926,the effects of methylphenidate on word decoding accuracy in boys with attention deficit hyperactivity disorder,2008,"Bental, Barbara; Tirosh, Emanuel",1
UNL9JAM3,2026699000,early intervention for reading disabilities teaching the alphabet principle in a connectionist framework,1999,"Berninger, V. W.; Abbott, R. D.; Zook, D.; Ogier, S.; Lemos-Britton, Z.; Brooksher, R.",1
Z8LXBL37,2018092173,early development of language by hand composing reading listening and speaking connections three letter writing modes and fast mapping in spelling,2006,"Berninger, Virginia W.; Abbott, Robert D.; Jones, Janine; Wolf, Beverly J.; Gould, Laura; Anderson-Youngstrom, Marci; Shimada, Shirley; Apel, Kenn",1
TR8LNNB2,2112078857,evidence based diagnosis and treatment for specific learning disabilities involving impairments in written and or oral language,2011,"Berninger, Virginia W.; May, Maggie O'Malley",1
9VP5FBF5,1998409574,phonological processing and oral language abilities in fourth grade poor readers,2003,"Betourne, Lori S.; Friel-Patti, Sandy",1
7ICG73S5,1770682640,rapid automatized naming in children with dyslexia is inhibitory control involved,2015,"Bexkens, Anika; van den Wildenberg, Wery P. M.; Tijms, Jurgen",1
FBBSJDWT,1887510520,children who read words accurately despite language impairment who are they and how do they do it,2009,"Bishop, Dorothy V. M.; McDonald, David; Bird, Sarah; Hayiou-Thomas, Marianna E.",1
DS978RRW,2162765270,deficient implicit phonological representations in children with dyslexia,2006,"Boada, Richard; Pennington, Bruce F.",1
FYDQ9NX8,2130852760,towards a further characterization of phonological and literacy problems in dutch speaking children with dyslexia,2010,"Boets, Bart; De Smedt, Bert; Cleuren, Leen; Vandewalle, Ellen; Wouters, Jan; Ghesquiere, Pol",1
FPZV8BLG,2060253754,auditory temporal information processing in preschool children at family risk for dyslexia relations with phonological abilities and developing literacy skills,2006,"Boets, Bart; Wouters, Jan; van Wieringen, Astrid; Ghesquiere, Pol",1
MVMBGINA,2132805506,auditory processing speech perception and phonological ability in pre school children at high risk for dyslexia a longitudinal study of the auditory temporal processing theory,2007,"Boets, Bart; Wouters, Jan; van Wieringen, Astrid; Ghesquiere, Pol",1
PCSRQELA,2133970055,effects of naming speed differences on fluency of reading after practice,1993,"Bowers, P. G.; Kennedy, A.",1
EDVFX4FA,1976405615,naming speed deficits in reading disability multiple measures of a singular process,1991,"Bowers, P. G.; Swanson, L. B.",1
E6UJ79MT,2029937924,do phonologic and rapid automatized naming deficits differentially affect dyslexic children with and without a history of language delay a study of italian dyslexic children,2006,"Brizzolara, Daniela; Chilosi, Anna; Cipriani, Paola; Di Filippo, Gloria; Gasperini, Filippo; Mazzotti, Sara; Pecini, Chiara; Zoccolotti, Pierluigi",1
SL3S5JPG,2142600684,letter naming and letter writing reversals in children with dyslexia momentary inefficiency in the phonological and orthographic loops of working memory,2011,"Brooks, Allison D.; Berninger, Virginia W.; Abbott, Robert D.",1
DEQ3QNM5,2134363839,identifying learning disabilities through a cognitive deficit framework can verbal memory deficits explain similarities between learning disabled and low achieving students,2015,"Callinan, Sarah; Theiler, Stephen; Cunningham, Everarda",1
G8GAEVWN,2122148443,different patterns but equivalent predictors of growth in reading in consistent and inconsistent orthographies,2013,"Caravolas, Marketa; Lervag, Arne; Defior, Sylvia; Seidlova Malkova, Gabriela; Hulme, Charles",1
FYPHWUYM,2109352893,common patterns of prediction of literacy development in different alphabetic orthographies,2012,"Caravolas, Marketa; Lervag, Arne; Mousikou, Petroula; Efrim, Corina; Litavsky, Miroslav; Onochie-Quintanilla, Eduardo; Salas, Nayme; Schoffelova, Miroslava; Defior, Sylvia; Mikulajova, Marina; Seidlova-Malkova, Gabriela; Hulme, Charles",1
465DM5GK,2405918434,evaluation of results from genome wide studies of language and reading in a novel independent dataset,2016,"Carrion-Castillo, A.; van Bergen, E.; Vino, A.; van Zuijen, T.; de Jong, P. F.; Francks, C.; Fisher, S. E.",1
TW32S5LA,2577978787,association analysis of dyslexia candidate genes in a dutch longitudinal sample,2017,"Carrion-Castillo, Amaia; Maassen, Ben; Franke, Barbara; Heister, Angelien; Naber, Marlies; van der Leij, Aryan; Francks, Clyde; Fisher, Simon E.",1
ESMNADZ9,2194903306,predicting dyslexia using prereading skills the role of sensorimotor and cognitive abilities,2016,"Carroll, Julia M.; Solity, Jonathan; Shapiro, Laura R.",1
G7I4MKJE,2114596050,investigating reading disabilities using the rauding diagnostic system,1998,"Carver, R. P.; Clark, S. W.",1
HN553KSF,2078695450,the relationship between speech language impairments and reading disabilities,1993,"Catts, H. W.",1
6ANYKAI5,1975634780,the role of speed of processing rapid naming and phonological awareness in reading achievement,2002,"Catts, Hugh W.; Gillispie, Matthew; Leonard, Laurence B.; Kail, Robert V.; Miller, Carol A.",1
2A77IS7S,2172282277,early identification of reading disabilities within an rti framework,2015,"Catts, Hugh W.; Nielsen, Diane Corcoran; Bridges, Mindy Sittner; Liu, Yi Syuan; Bontempo, Daniel E.",1
PJMYCIMS,2095393737,strengths and weaknesses in reading skills of youth with intellectual disabilities,2013,"Channell, Marie Moore; Loveall, Susan J.; Conners, Frances A.",1
VEKV4WJC,2073975014,writing to dictation and handwriting performance among chinese children with dyslexia relationships with orthographic knowledge and perceptual motor skills,2013,"Cheng-Lai, Alice; Li-Tsang, Cecilia W. P.; Chan, Alan H. L.; Lo, Amy G. W.",1
P8L33TIW,2790699408,early reading abilities of bilingual children with nonsyndromic orofacial clefts,2018,"Cheong, Michelle Heng Yue; Young, Selena Ee-Li; Young, Dawn Patricia Chuan Yu; Lee, Mary Lay Choo; Rickard Liow, Susan Jane",1
X4HV2RGU,2264788891,development of first graders word reading skills for whom can dynamic assessment tell us more,2017,"Cho, Eunsoo; Compton, Donald L.; Gilbert, Jennifer K.; Steacy, Laura M.; Collins, Alyson A.; Lindstrom, Esther R.",1
D3CD5GDT,1922002030,cognitive profiles of korean poor readers,2011,"Cho, Jeung-Ryeul; Ji, Yu-Kyong",1
6JG5S59F,2000774370,genetic and environmental influences on chinese language and reading abilities,2011,"Chow, Bonnie Wing-Yin; Ho, Connie Suk-Han; Wong, Simpson Wai-Lap; Waye, Mary M. Y.; Bishop, Dorothy V. M.",1
XXQF8ELK,1990387872,generalist genes and cognitive abilities in chinese twins,2013,"Chow, Bonnie Wing-Yin; Ho, Connie Suk-Han; Wong, Simpson Wai-Lap; Waye, Mary M. Y.; Bishop, Dorothy V. M.",1
YPA9PKXN,2153998255,genetic and environmental etiologies of the longitudinal relations between prereading skills and reading,2015,"Christopher, Micaela E.; Hulslander, Jacqueline; Byrne, Brian; Samuelsson, Stefan; Keenan, Janice M.; Pennington, Bruce; DeFries, John C.; Wadsworth, Sally J.; Willcutt, Erik; Olson, Richard K.",1
3RYUL7Q8,2438387752,the genetic and environmental etiologies of the relations between cognitive skills and components of reading ability,2016,"Christopher, Micaela E.; Keenan, Janice M.; Hulslander, Jacqueline; DeFries, John C.; Miyake, Akira; Wadsworth, Sally J.; Willcutt, Erik; Pennington, Bruce; Olson, Richard K.",1
5IQL69CQ,2058182569,predicting word reading and comprehension with executive function and speed measures across development a latent variable analysis,2012,"Christopher, Micaela E.; Miyake, Akira; Keenan, Janice M.; Pennington, Bruce; DeFries, John C.; Wadsworth, Sally J.; Willcutt, Erik; Olson, Richard K.",1
4XRPFENW,2016231731,using spelling to screen bilingual kindergarteners at risk for reading difficulties,2016,"Chua, Shi Min; Rickard Liow, Susan J.; Yeong, Stephanie H. M.",1
FFQGVQ2N,2057440355,cognitive profiles of chinese adolescents with dyslexia,2010,"Chung, Kevin K. H.; Ho, Connie Suk-Han; Chan, David W.; Tsang, Suk-Man; Lee, Suk-Han",1
K7Y6FRZZ,1966974058,the role of visual and auditory temporal processing for chinese children with developmental dyslexia,2008,"Chung, Kevin K. H.; McBride-Chang, Catherine; Wong, Simpson W. L.; Cheung, Him; Penney, Trevor B.; Ho, Connie S.-H.",1
P8EFESVV,2123037681,second language learning difficulties in chinese children with dyslexia what are the reading related cognitive skills that contribute to english and chinese word reading,2010,"Chung, Kevin Kien Hoa; Ho, Connie Suk-Han",1
NHTY9ALR,2885415466,cognitive linguistic profiles of chinese typical functioning adolescent dyslexics and high functioning dyslexics,2018,"Chung, Kevin Kien Hoa; Lo, Jason C. M.; McBride, Catherine",1
TC4JTAC9,2807434085,longitudinal predictors of the overlap between reading and math skills,2018,"Cirino, Paul T.; Child, Amanda E.; Macdonald, Kelly",1
9PKMWTH7,2153497835,reading in children with orofacial clefts versus controls,2010,"Collett, Brent R.; Stott-Miller, Marni; Kapp-Simon, Kathleen A.; Cunningham, Michael L.; Speltz, Matthew L.",1
TRU8QZVA,1984503643,modeling the response of normally achieving and at risk first grade children to word reading instruction,2000,"Compton, D. L.",1
WE2E5FU8,2154057098,are ran and phonological awareness deficits additive in children with reading disabilities,2001,"Compton, D. L.; DeFries, J. C.; Olson, R. K.",1
8YNMN7GA,2149005324,the relationship of phonological awareness rapid naming and verbal memory to severe reading and spelling disability,1992,"Cornwall, A.",1
5GC9FXCG,2328888593,reading changes in children and adolescents with dyslexia after transcranial direct current stimulation,2016,"Costanzo, Floriana; Varuzza, Cristiana; Rossi, Serena; Sdoia, Stefano; Varvara, Pamela; Oliveri, Massimiliano; Koch, Giacomo; Vicari, Stefano; Menghini, Deny",1
Z3494BH8,2081485012,the kiaa0319 like kiaa0319l gene on chromosome 1p34 as a candidate for reading disabilities,2008,"Couto, Jillian M.; Gomez, Lissette; Wigg, Karen; Cate-Carter, Tasha; Archibald, Jennifer; Anderson, Barbara; Tannock, Rosemary; Kerr, Elizabeth N.; Lovett, Maureen W.; Humphries, Tom; Barr, Cathy L.",1
ZF6BX8AF,2034836290,ran and double deficit theory,2013,"Cronin, Virginia S.",1
HPCKUUN5,2553170159,examining the relationship between rapid automatized naming and arithmetic fluency in chinese kindergarten children,2017,"Cui, Jiaxin; Georgiou, George K.; Zhang, Yiyun; Li, Yixun; Shu, Hua; Zhou, Xinlin",1
RQDDWUG6,2089145467,accounting for children s orthographic learning while reading text do children self teach,2006,"Cunningham, Anne E.",1
UY5PFVY8,1964183740,orthographic learning during reading examining the role of self teaching,2002,"Cunningham, Anne E.; Perry, Kathryn E.; Stanovich, Keith E.; Share, David L.",1
A4T6R362,2020824927,cognitive profile of children with neurofibromatosis and reading disabilities,2010,"Cutting, Laurie E.; Levine, Terry M.",1
EL4EE6FC,2172009209,development of reading and phonological skills of children at family risk for dyslexia a longitudinal analysis from kindergarten to sixth grade,2014,"Dandache, Sophie; Wouters, Jan; Ghesquiere, Pol",1
VG7KJ5PI,1581078980,etiology of reading difficulties and rapid naming the colorado twin study of reading disability,2001,"Davis, C. J.; Gayan, J.; Knopik, V. S.; Smith, S. D.; Cardon, L. R.; Pennington, B. F.; Olson, R. K.; DeFries, J. C.",1
IJQGGW8W,2129587351,the attentional blink in typically developing and reading disabled children,2015,"de Groot, Barry J. A.; van den Bos, Kees P.; van der Meulen, Bieuwe F.; Minnaert, Alexander E. M. G.",1
P5WPT4TB,2279478955,rapid naming and phonemic awareness in children with or without reading disabilities and or adhd,2017,"De Groot, Barry J. A.; Van den Bos, Kees P.; Van der Meulen, Bieuwe F.; Minnaert, Alexander E. M. G.",1
XR9WNEND,1722482346,rapid naming and phonemic awareness in children with reading disabilities and or specific language impairment differentiating processes,2015,"De Groot, Bartholomeus J. A.; Van den Bos, Kees P.; Van der Meulen, Bieuwe F.; Minnaert, Alexander E. M. G.",1
Y9QL4JU6,2112534914,rd adhd and their comorbidity from a dual route perspective,2012,"de Jong, Christien G. W.; Licht, Robert; Sergeant, Joseph A.; Oosterlaan, Jaap",1
WLIB2VIN,1984731394,does phonological recoding occur during silent reading and is it necessary for orthographic learning,2009,"de Jong, Peter F.; Bitter, Danielle J. L.; van Setten, Margot; Marinus, Eva",1
3HJHLX3S,2094959051,rapid automatic naming easy to measure hard to improve quickly,2004,"de Jong, Peter F.; Vrielink, Lidy Oude",1
YB6LGXG4,2005534344,rapid automatized naming r a n dyslexia differentiated from other learning disabilities,1976,"Denckla, M. B.; Rudel, R. G.",1
4L2HFH7Y,2004893182,children s reading performance is correlated with white matter structure measured by diffusion tensor imaging,2005,"Deutsch, Gayle K.; Dougherty, Robert F.; Bammer, Roland; Siok, Wai Ting; Gabrieli, John D. E.; Wandell, Brian",1
V9BNQCDQ,2004177163,rapid naming not cancellation speed or articulation rate predicts reading in an orthographically regular language italian,2005,"Di Filippo, Gloria; Brizzolara, Daniela; Chilosi, Anna; De Luca, Maria; Judica, Anna; Pecini, Chiara; Spinelli, Donatella; Zoccolotti, Pierluigi",1
GR564ECI,2018905384,naming speed and visual search deficits in readers with disabilities evidence from an orthographically regular language italian,2006,"Di Filippo, Gloria; Brizzolara, Daniela; Chilosi, Anna; De Luca, Maria; Judica, Anna; Pecini, Chiara; Spinelli, Donatella; Zoccolotti, Pierluigi",1
4BYA9CHF,2066069002,rapid naming deficits in dyslexia a stumbling block for the perceptual anchor theory of dyslexia,2008,"Di Filippo, Gloria; Zoccolotti, Pierluigi; Ziegler, Johannes C.",1
84RM5WDA,2165190099,rapid automatized naming and immediate memory functions in chinese children who read english as a second language,2013,"Ding, Yi; Guo, Jian-Peng; Yang, Ling-Yan; Zhang, Dake; Ning, Huan; Richman, Lynn C.",1
38H8I79F,2103265368,rapid automatized naming and immediate memory functions in chinese mandarin speaking elementary readers,2010,"Ding, Yi; Richman, Lynn C.; Yang, Ling-yan; Guo, Jian-peng",1
NU8YPLSQ,2034637098,the impact of early classroom inattention on phonological processing and word reading development,2016,"Dittman, Cassandra K.",1
XC8HV3G9,2129424686,neurocognitive mechanisms of learning to read print tuning in beginning readers related to word reading fluency and semantics but not phonology,2015,"Eberhard-Moscicka, Aleksandra K.; Jost, Lea B.; Raith, Margit; Maurer, Urs",1
X4ZIQART,2016796476,anatomical correlates of dyslexia frontal and cerebellar findings,2003,"Eckert, Mark A.; Leonard, Christiana M.; Richards, Todd L.; Aylward, Elizabeth H.; Thomson, Jennifer; Berninger, Virginia W.",1
JSIW7NPX,2889354294,exploring factors underlying children s acquisition and retrieval of sound symbol association skills,2019,"Ehm, Jan-Henning; Lonnemann, Jan; Brandenburg, Janin; Huschka, Sina Simone; Hasselhorn, Marcus; Lervag, Arne",1
GF9BJRMI,1994214392,orthographic processing and reading comprehension among arabic speaking mainstream and ld children,2011,"Elbeheri, Gad; Everatt, John; Mahfoudhi, Abdessatar; Abu Al-Diyar, Mosaad; Taibah, Nadia",1
42ZNLQHU,2030336277,real age of acquisition effects in lexical retrieval,1998,"Ellis, A. W.; Morrison, C. M.",1
ELN92IIL,2055988452,longitudinal stability and predictors of poor oral comprehenders and poor decoders,2013,"Elwer, Sa; Keenan, Janice M.; Olson, Richard K.; Byrne, Brian; Samuelsson, Stefan",1
MJVHDU64,2139310985,evaluation of the double deficit hypothesis subtype classification of readers in spanish,2007,"Escribano, Carmen Lopez",1
4FXLXKS2,2091456956,home literacy activities and their influence on early literacy skills,2000,"Evans, M. A.; Shaw, D.; Bell, M.",1
3SC7XK2Y,2127493334,dyslexia screening measures and bilingualism,2000,"Everatt, J.; Smythe, I.; Adams, E.; Ocampo, D.",1
WRKRNDRW,2158231481,visual spatial attention and speech segmentation are both impaired in preschoolers at familial risk for developmental dyslexia,2010,"Facoetti, Andrea; Corradi, Nicola; Ruffino, Milena; Gori, Simone; Zorzi, Marco",1
62AJUAGC,1906505384,predictors of reading in urdu does deep orthography have an impact,2014,"Farukh, Ammara; Vulchanova, Mila",1
P2NSRWCB,1968083361,neuropsychological predictors of academic underachievement in pediatric epilepsy moderating roles of demographic seizure and psychosocial variables,2004,"Fastenau, Philip S.; Shen, Jianzhao; Dunn, David W.; Perkins, Susan M.; Hermann, Bruce P.; Austin, Joan K.",1
SRT7EANB,2090508557,naming speed in children with dyslexia,1994,"Fawcett, A. J.; Nicolson, R. I.",1
I2EF2JFU,2865284948,effects of a phonological reading and writing remediation program in students with dyslexia intervention for specific learning disabilities,2018,"Ferraz, Erika; Goncalves, Thais Dos Santos; Freire, Thais; Mattar, Tais de Lima Ferreira; Lamonica, Dionisia Aparecida Cusin; Maximino, Luciana Paula; Abreu Pinheiro Crenitte, Patricia",1
Q5E3N8KH,2066501923,rapid naming phonological memory and reading fluency in brazilian bilingual students,2015,"Fleury, Fernanda Oppenheimer; Avila, Clara Regina Brandao de",0
IQFURN8W,2014829501,effects of phonological awareness and naming speed on mathematics skills in children with mild intellectual disabilities,2015,"Foster, Matthew E.; Sevcik, Rose A.; Romski, Maryann; Morris, Robin D.",1
XXPTK8CY,2169015329,neurocognitive predictors of reading outcomes for children with reading disabilities,2011,"Frijters, Jan C.; Lovett, Maureen W.; Steinbach, Karen A.; Wolf, Maryanne; Sevcik, Rose A.; Morris, Robin D.",1
N6G9F9FE,2137845447,the construct and predictive validity of a dynamic assessment of young children learning to read implications for rti frameworks,2011,"Fuchs, Douglas; Compton, Donald L.; Fuchs, Lynn S.; Bouton, Bobette; Caffrey, Erin",1
SP6GG5TH,2133170895,first grade cognitive abilities as long term predictors of reading comprehension and disability status,2012,"Fuchs, Douglas; Compton, Donald L.; Fuchs, Lynn S.; Bryant, V. Joan; Hamlett, Carol L.; Lambert, Warren",1
6IU2RVQI,2198278340,pathways to third grade calculation versus word reading competence are they more alike or different,2016,"Fuchs, Lynn S.; Geary, David C.; Fuchs, Douglas; Compton, Donald L.; Hamlett, Carol L.",1
MSF7F49I,2605225551,working memory components that predict word problem solving is it merely a function of reading calculation and fluid intelligence,2017,"Fung, Wenson; Swanson, H. Lee",1
ZX3796JA,2010490421,predicting reading and spelling difficulties in transparent and opaque orthographies a comparison between scandinavian and us australian children,2010,"Furnes, Bjarte; Samuelsson, Stefan",1
KDGRTP33,2074753399,does repeated reading predict reading development over time a study of children from grade 3 to 4,2014,"Gellert, Anna S.",1
CPJTEE4V,2805202736,predicting reading disabilities using dynamic assessment of decoding before and after the onset of reading instruction a longitudinal study from kindergarten through grade 2,2018,"Gellert, Anna S.; Elbro, Carsten",1
2PF8QQAK,2174553662,modeling the relationship between rapid automatized naming and literacy skills across languages varying in orthographic consistency,2016,"Georgiou, George K.; Aro, Mikko; Liao, Chen-Huei; Parrila, Rauno",1
R6GK766Z,2162186852,revisiting the simple view of reading in a group of children with poor reading comprehension,2009,"Georgiou, George K.; Das, J. P.; Hayward, Denyse",1
B2A72ZHC,1989023712,rapid naming speed components and reading development in a consistent orthography,2012,"Georgiou, George K.; Papadopoulos, Timothy C.; Fella, Argyro; Parrila, Rauno",1
JKWZN6CR,1948115452,are auditory and visual processing deficits related to developmental dyslexia,2012,"Georgiou, George K.; Papadopoulos, Timothy C.; Zarouna, Elena; Parrila, Rauno",1
MV3QSFZV,2028334475,why is rapid automatized naming related to reading,2013,"Georgiou, George K.; Parrila, Rauno; Cui, Ying; Papadopoulos, Timothy C.",1
Y2VRN9HI,2049591193,is rapid automatized naming related to reading and mathematics for the same reason s a follow up study from kindergarten to grade 1,2013,"Georgiou, George K.; Tziraki, Niki; Manolitsis, George; Fella, Argyro",1
8DAIPQ8J,2606000691,examining the direct and indirect effects of visual verbal paired associate learning on chinese word reading,2017,"Georgiou, George; Liu, Cuina; Xu, Shiyang",1
GU58KZUF,1966805299,understanding individual differences in word recognition skills of esl children,2000,"Geva, E.; Yaghoub-Zadeh, Z.; Schuster, B.",1
TBAIFJXI,2939973345,effects of rapid automatized naming and phonological awareness deficits on the reading ability of arabic speaking elementary students,2019,"Gharaibeh, Mahmoud; Sartawi, Abdel Aziz; Dodeen, Hamzeh; Alzyoudi, Mohammed",1
VMD9IMSH,2798918257,genome wide association scan identifies new variants associated with a cognitive predictor of dyslexia,2019,"Gialluisi, Alessandro; Andlauer, Till F. M.; Mirza-Schreiber, Nazanin; Moll, Kristina; Becker, Jessica; Hoffmann, Per; Ludwig, Kerstin U.; Czamara, Darina; St Pourcain, Beate; Brandler, William; Honbolygo, Ferenc; Toth, Denes; Csepe, Valeria; Huguet, Guillaume; Morris, Andrew P.; Hulslander, Jacqueline; Willcutt, Erik G.; DeFries, John C.; Olson, Richard K.; Smith, Shelley D.; Pennington, Bruce F.; Vaessen, Anniek; Maurer, Urs; Lyytinen, Heikki; Peyrard-Janvid, Myriam; Leppanen, Paavo H. T.; Brandeis, Daniel; Bonte, Milene; Stein, John F.; Talcott, Joel B.; Fauchereau, Fabien; Wilcke, Arndt; Francks, Clyde; Bourgeron, Thomas; Monaco, Anthony P.; Ramus, Franck; Landerl, Karin; Kere, Juha; Scerri, Thomas S.; Paracchini, Silvia; Fisher, Simon E.; Schumacher, Johannes; Nothen, Markus M.; Muller-Myhsok, Bertram; Schulte-Korne, Gerd",1
ZAU54F9W,2154686608,kindergarten risk factors cognitive factors and teacher judgments as predictors of early reading in dutch,2006,"Gijsel, Martine A. R.; Bosman, Anna M. T.; Verhoeven, Ludo",1
UIW2V4Q8,2766638942,parents reading history as an indicator of risk for reading difficulties,2017,"Gimenez, A.; Ortiz, A.; Lopez-Zamora, M.; Sanchez, A.; Luque, J. L.",1
5AE5SM5D,2899891825,impact of health behaviours and deprivation on well being in a national sample of english young people,2018,"Gireesh, Aswathikutty; Das, Shikta; Viner, Russell M.",0
9QNB7U4H,1993467225,follow up after a pediatric emergency department visit telephone versus e mail,2004,"Goldman, Ran D.; Mehrotra, Shruti; Pinto, Tanya R.; Mounstephen, William",1
JAKZ3642,2142181661,rapid automatized naming and lexical decision in children from an electrophysiological perspective,2011,"Gonzalez-Garrido, A. A.; Gomez-Velazquez, F. R.; Zarabozo, D.; Ruiz-Villeda, B. A.; de la Serna Tuya, J. M.",1
TF8SXXYR,2000622732,chromosome 6p influences on different dyslexia related cognitive processes further confirmation,2000,"Grigorenko, E. L.; Wood, F. B.; Meyer, M. S.; Pauls, D. L.",1
4WJLUMU6,2072456273,linkage studies suggest a possible locus for developmental dyslexia on chromosome 1p,2001,"Grigorenko, E. L.; Wood, F. B.; Meyer, M. S.; Pauls, J. E.; Hart, L. A.; Pauls, D. L.",1
VISD4CW7,2048494139,continuing the search for dyslexia genes on 6p,2003,"Grigorenko, Elena L.; Wood, Frank B.; Golovyan, Lina; Meyer, Marianne; Romano, Christina; Pauls, David",1
