iteration,ID,Title,Year,Authors,Journal,Pub_type,Citation_count,References_count,abstract
1,2153874887,functional characteristics of developmental dyslexia in left hemispheric posterior brain regions predate reading onset,2012,"nora maria raschle, jennifer zuk, nadine gaab",proceedings of the national academy of sciences of the united states of america,1,122,76,"Individuals with developmental dyslexia (DD) show a disruption in posterior left-hemispheric neural networks during phonological processing. Additionally, compensatory mechanisms in children and adults with DD have been located within frontal brain areas. However, it remains unclear when and how differences in posterior left-hemispheric networks manifest and whether compensatory mechanisms have already started to develop in the prereading brain. Here we investigate functional networks during phonological processing in 36 prereading children with a familial risk for DD (n = 18, average age = 66.50 mo) compared with age and IQ-matched controls (n = 18; average age = 65.61 mo). Functional neuroimaging results reveal reduced activation in prereading children with a family-history of DD (FHD+), compared with those without (FHD−), in bilateral occipitotemporal and left temporoparietal brain regions. This finding corresponds to previously identified hypoactivations in left hemispheric posterior brain regions for school-aged children and adults with a diagnosis of DD. Furthermore, left occipitotemporal and temporoparietal brain activity correlates positively with prereading skills in both groups. Our results suggest that differences in neural correlates of phonological processing in individuals with DD are not a result of reading failure, but are present before literacy acquisition starts. Additionally, no hyperactivation in frontal brain regions was observed, suggesting that compensatory mechanisms for reading failure are not yet present. Future longitudinal studies are needed to determine whether the identified differences may serve as neural premarkers for the early identification of children at risk for DD."
1,2159629063,a critical review of the literature on nld as a developmental disorder,2013,"jodene goldenring fine, margaret semrudclikeman, jesse bledsoe, kayla a musielak",child neuropsychology,1,29,73,"The extant research on nonverbal learning disability (NLD) was analyzed in this review. Studies were defined for use in the review as those that appeared in a peer-reviewed journal and included participants characterized as having NLD. Each study also needed to provide a statistical analysis of dependent variables. An a priori system was used to evaluate the quality of the research. Of the 88 publications found, 32 met criteria for inclusion in the review, with 6 meeting full criteria as strong studies. The diagnostic criteria used and the research findings are briefly discussed, as are proposed guidelines for future research."
1,2184253408,the impact of nonverbal learning disabilities on early development,2005,aileen philips schloerb,NA,0,1,25,"This article presents an overview of the often neglected diagnostic category of nonverbal learning disabilities. Following the presentation of a case study, questions are raised about the infrequently considered relationship between nonverbal learning disabilities and early development. Specific reference is made to the impact of nonverbal processing deficits on cognitive, affective, linguistic and social development. An examination of risk and protective factors relative to the case study is included, as well as an indication of early warning signs and treatment implications. Finally, recommendations are advanced for directions of future study."
1,2492986111,non verbal learning disabilities,2005,sandra burkhardt,NA,0,2,41,"Research in the area of NLD reports diagnostic criteria, assessment methods and treatment strategies derived from case studies and clinical experiments involving small number of participants and controls. The American Psychiatric Association reported that approximately 1% of school-age children have a mathematics disability (APA, 2003). Wicks-Nelson and Israel (2003) suggested that there is “scant information about prevalence and outcome for mathematics disorder” (p. 277). The prevalence of NLD has not been reported in research literature."
1,2750390183,study of the ability to detect humor in visual images by 2 5 year olds,2017,sonovia latoya mcfall,NA,0,0,30,NA
1,2980041208,nonverbal learning disability a tutorial for speech language pathologists,2004,joanne volden,american journal of speech language pathology,1,27,93,NA
1,776926243,developing the literacy skills of children from areas of economic disadvantage,2012,susan greig,NA,0,0,92,"This piece of work consists of three papers. The first paper is a systematic review of literature investigating the effectiveness of preschool, classroombased literacy interventions used with children living in economic disadvantage. The review consists of nine studies, the majority of which found significant short term effects of intervention. Two of the studies reported long term outcomes which were found to be non-significant. Consequently, recommendations for further research included exploration of a wider range of factors in raising the literacy levels of children from economic disadvantage. The second paper is a bridging document which explains how the various decisions in this piece of work were made, including the research focus, methodology, method and analysis. Through the bridging document, ontology, epistemology and reflexivity are explored and ethical and quality issues are discussed. The third paper describes and discusses a piece of empirical research. Following on from recommendations in the systematic review, a wide range of factors which may be useful in enhancing the literacy levels of children from economic disadvantage were explored. A participatory model of research was used which involved training six pupils from a school situated in a deprived area to carry out research with their peers. The group produced a collaborative mind map and interviewed five of their peers. Six themes emerged from these methods: resources, strategies, skills, people, enjoyment and practice. The benefits and limitations of using a participatory research model are discussed. The data gathered was deemed to be useful but not necessarily better than that gathered using more traditional non-participatory methods. Implications and suggestions for further research are explored."
1,2047531122,oral language predictors for the at risk reader a review,2008,"tanya serry, miranda rose, pranee liamputtong",international journal of speech language pathology,1,8,77,"The importance of early identification of at-risk readers has received attention in recent literature. This paper reviews evidence for oral language components, shown to have predictive capacity to identify at-risk readers at an early age. Both phonological and non-phonological components of oral language difficulties are linked to poor reading outcomes in a majority of children. At-risk preschoolers may present with phonological deficits, sub-clinical or clinical language impairment. The nature and importantly the trajectory of reading difficulty will vary, depending on the area of language breakdown. Irrespective, difficulty with reading comprehension is likely to result. Importantly, the variation in the trajectory of reading difficulty means that some children may struggle during the initial phases of learning to read, whereas others may experience initial success, but encounter difficulties at a later point when reading demands increase. Clinical implications for speech-language pathology assessment practices and ongoing monitoring of oral language and reading skills are discussed."
1,2089680182,evaluating the effectiveness of read well kindergarten,2010,"barbara gunn, keith smolkowski, patricia f vadasy",journal of research on educational effectiveness,1,12,97,"Abstract This article reports the outcomes of an experimental evaluation of Read Well Kindergarten (RWK), a program that focuses on the development of vocabulary, phonological awareness, alphabetic understanding, and decoding. Kindergarten teachers in 24 elementary schools in New Mexico and Oregon were randomly assigned, by school, to teach RWK or their own program. Treatment teachers received 2 days of training and taught daily lessons. Project staff assessed 1,520 students at pretest and 1,428 at posttest with measures of vocabulary, phonological awareness, alphabetic understanding, and decoding. Follow-up testing was conducted in fall and spring of first grade. Analyses of final outcomes revealed a statistically significant difference favoring intervention students on curriculum-based measures of sight words and decodable words. Although these results did not generalize to standardized measures, follow-up analyses indicated that the impact of RWK rested on the rate of opportunities for independent stud..."
1,2113415662,the phonic inventories using spelling error patterns to identify children with potential learning difficulties,2008,dina nicole grasko,NA,0,0,38,NA
1,2156137081,contextualized approach to language and literacy project call capitalizing on varied activities and contexts to teach early literacy skills,2007,"barbara culatta, kendra m hall, dana kovarsky, geraldine theadore",communication disorders quarterly,1,11,44,"In a federally funded early literacy project, various instructional activities were embedded into an array of classroom contexts to provide supplemental literacy instruction and to contrast children's engagement and participation in different contexts and participant structures. The study was conducted with English- and Spanish-speaking children from four Head Start classrooms. In a crossover project design, children were trained on similar sets of rhyme and letter targets at different times. Three-way ANOVAs with rhyme and letter difference scores as the dependent variables revealed a significant time-of-test effect for rhyming and significant Time × Order × Set interactions for rhyme and letter generation. Children performed better on trained than untrained targets. Observations of children revealed growth in performance and spontaneity of rhyme skills in classroom contexts. Qualitative analyses documented high levels of engagement, illustrating the value of varying activities and contexts for instructi..."
1,2192668267,pradiktoren des schriftspracherwerbs im deutschen,2008,"kathrin hippmann, ralph radach",NA,0,0,163,NA
1,2339385472,an analysis of the relationship between phonological and nonphonological language and early reading development,2017,luann batsonmagnuson,communication disorders quarterly,1,1,34,"This study explores the relationship between preschool phonological and nonphonological language performance and first-grade reading performance. Data were gathered from the files of 149 students who had completed a universal kindergarten screening program in the spring prior to enrollment. Bivariate correlation analyses, Steiger’s Z comparisons, and hierarchical multiple regression analyses were completed to determine the associations between phonological and nonphonological language skills and subsequent first-grade spring word analysis and reading composite performance. Phonological and nonphonological tasks were moderately useful in predicting students’ subsequent first-grade word analysis and reading composite performance. No significant difference in association was found between the phonological and nonphonological composites. A combined phonological and nonphonological model provided the strongest predictive utility. This study supports a significant and equivalent association between preschool ph..."
1,2886634173,identifying and teaching children and young people with dyslexia and literacy difficulties,2009,jim rose,NA,5,97,67,NA
1,2905305469,the dyslexia debate by julian g elliott,2014,"julian elliott, elena l grigorenko",NA,0,0,500,NA
1,146353584,an examination of the perceptions of educational leaders on the ensuring literacy for all initiative s impact on student reading achievement in louisiana,2013,khanh kim nguyendufour,NA,0,0,169,"The purpose of this qualitative phenomenological study was to examine the experiences of Louisiana’s Ensuring Literacy For All (ELFA) initiative from the perspective of NA educational administrators in order to identify: (a) the factors within ELFA that contributed to student reading performance; (b) the effects of the perceptions of ELFA administrators on student achievement; and (c) the components of effective leadership that attributed to the success of ELFA implementation. Bandura‘s (1993) socio-psychological theory of self efficacy was used to frame this study, which included six ELFA administrators from the state, district, and school level. The five findings of this study revealed the following: (1) high quality job-embedded professional development strengthened teachers’ capacity to achieve a shared purpose; (2) efficacious ELFA leaders believed that they could alter their school culture and increase student achievement, despite having a low performing student population; (3) the gradual elimination of funds detrimentally impacted all levels of governance and created a snowball effect that ultimately decreased student achievement; (4) the urgency to help students read on grade level ignited a willingness for ELFA educators to trust each other; and (5) the standardization of practices resulted in a common language that ELFA leaders used to produce results, ensure compliance, and build teacher capacity. This study revealed that ELFA leaders believed that they could overcome challenges such as having a low performing student population and obstacles such as shortage of funding and low parental involvement. The ELFA leaders’ self efficacy beliefs directly impacted their actions and behaviors as well as those under their supervision."
1,1459600795,preschool predictors of later reading comprehension ability a systematic review,2017,"hanne naess hjetland, ellen iren brinchmann, ronny scherer, monica melbylervag",campbell systematic reviews,1,6,113,NA
1,1542119484,sprachforderung von kindern und jugendlichen aus zuwandererfamilien,2014,"jennifer paetsch, katrin m wolf, petra stanat, annkathrin darsow",zeitschrift fur erziehungswissenschaft,1,10,112,"Kinder und Jugendliche aus Zuwandererfamilien sind im deutschen Bildungssystem deutlich weniger erfolgreich als Kinder und Jugendliche ohne Migrationshintergrund. Die bestehenden Disparitaten lassen sich zu einem grosen Teil auf die unzureichende Beherrschung der Instruktionssprache zuruckfuhren, was als Indikator fur einen Mangel an Lerngelegenheiten zum Kompetenzerwerb in der Zweitsprache interpretiert werden kann. Dieser Beitrag geht der Frage nach, wie es gelingen kann, die sprachbezogenen Disparitaten vor der Einschulung und im weiteren Verlauf der schulischen Bildung zu reduzieren. Der Beitrag verfolgt dabei das Ziel, die aktuelle Forschungslage zu Effekten der Quantitat und der Qualitat des institutionellen Zugangs zur Zweitsprache darzustellen und Hinweise auf Moglichkeiten der Weiterentwicklung padagogischer Forderpraxis abzuleiten sowie weiteren Forschungsbedarf aufzuzeigen. Es werden aktuelle Befunde zum Einfluss fruhkindlicher Betreuung allgemein sowie zu Effekten von qualitativen Merkmalen der fruhkindlichen Betreuung und Sprachforderung auf die Sprachentwicklung der Kinder berichtet. Fur den schulischen Bereich werden Befunde zu den Wirkungen von Ganztagsschulen auf den Zweitspracherwerb sowie aktuelle Ansatze der Sprachforderung und Erkenntnisse uber ihre Effekte dargestellt."
1,1902998707,predicting first grade reading performance from kindergarten response to tier 1 instruction,2011,"stephanie al otaiba, jessica sidler folsom, christopher schatschneider, jeanne wanzek, luana greulich, jane meadows, zhi li, carol mcdonald connor",exceptional children,1,35,25,"Many schools are implementing multitier response-to-intervention (RTI) models to reduce reading difficulties. This study was part of our larger ongoing longitudinal RTI investigation within the Florida Learning Disabilities Center grant and was conducted in 7 ethnically and socioeconomically diverse schools. We observed reading instruction in 20 classrooms, examined response rates to kindergarten Tier 1 instruction, and predicted students' first-grade reading performance based on kindergarten growth and end-of-year reading performance (n = 203). Teachers followed an explicit core reading program. Overall, classroom instruction was rated as effective. Results indicate that controlling for students' end-of-kindergarten reading, their growth across kindergarten on a variety of language and literacy measures suppressed predictions of first-grade performance. Specifically, the steeper the students' trajectory to a satisfactory outcome, the less likely they were to demonstrate good performance in first grade. I..."
1,1905557918,does technology more knowledgeable other an investigation of the effects of an integrated learning system on the literacy learning of emergent readers,2014,rebecca s putman,NA,0,0,155,"Professionals in education continue to explore technology as a way to instruct young students, and there is an accompanying belief that this technology can make an educational and academic difference. Despite the high percentage of young students in classrooms using technology, the impact of this technology on the early literacy skills of young children remains largely unknown. Guided by Vygotsky’s social learning theory, this study reports a 24-week investigation on whether regular use of Istation®, an integrated learning system used by approximately 3,000,000 students in the United States, had an effect on the early literacy achievement of children in twelve kindergarten classrooms. A mixed-method, quasi-experimental design was constructed using propensity scores. Also investigated were the effects of the level of teacher literacy support on early literacy achievement and the interaction between Istation® use and the level of teacher literacy support. A descriptive discriminant analysis was performed to determine the main effect of Istation®. The level of teacher support and the interaction effect was then tested using a multivariate between-subject analysis. NA Results indicated that Istation® did have a statistically significant effect on the early literacy skills of the 72 kindergarten students studied and was able to explain 17.7% of the variance in group differences. NA Hearing and recording sounds and letter sound knowledge were the main contributors to group differences. Teacher literacy support and the interaction between teacher support and Istation were not significant. This study considers the relationship between technology and early literacy and concludes that Istation® can serve as a more knowledgeable other as students develop some early literacy skills; however, teachers are still needed to provide complete literacy instruction for young students."
1,1965550313,the contribution of short term memory for serial order to early reading acquisition evidence from a longitudinal study,2012,"trecy martinez perez, steve majerus, martine poncelet",journal of experimental child psychology,1,51,77,"Abstract NA NA Early reading acquisition skills have been linked to verbal short-term memory (STM) capacity. However, the nature of this relationship remains controversial because verbal STM, like reading acquisition, depends on the complexity of underlying phonological processing skills. This longitudinal study addressed the relation between STM and reading decoding acquisition by distinguishing between STM for item information and STM for order information based on recent studies showing that STM for item information, but not STM for order information, recruits underlying phonological representations. If there is a specific link between STM and reading decoding acquisition, STM for order information should be an independent predictor of reading decoding acquisition. Tasks maximizing STM for serial order or item information, measures of phonological abilities, and reading tests were administered to children followed from kindergarten through first grade. We observed that order STM capacity, but not item STM capacity, predicted independent variance in reading decoding abilities 1 year later. These results highlight the specific role of STM for order in reading decoding acquisition and argue for a causal role of order STM capacity in reading acquisition. Mechanisms relating STM for order information and reading acquisition are discussed."
1,1967252711,predicting kindergarteners response to early reading intervention an examination of progress monitoring measures,2012,"eric l oslund, shanna haganburke, aaron b taylor, deborah c simmons, leslie e simmons, oiman kwok, caitlin johnson, michael d coyne",reading psychology,1,12,21,"This study examined the predictive validity of combinations of progress-monitoring measures: (a) curriculum-embedded phonemic awareness and alphabetic/decoding measures, and (b) Dynamic Indicators of Basic Early Literacy Skills (DIBELS; Good & Kaminski, 2002) nonsense word fluency and phoneme segmentation fluency on reading outcomes of kindergarten students in a tier 2 intervention. Results of multiple-regression analyses indicated that curriculum-embedded mastery checks and DIBELS measures each explained a significant amount of variance on the outcome measure. However, curriculum-embedded measures explained statistically significantly more variance at each time point supporting their utility in documenting progress of kindergarten students receiving intervention."
1,1986864185,the cognitive profile of adult dyslexics and its relation to their reading abilities,2013,"hanin beidas, asaid khateb, zvia breznitz",reading and writing,1,18,141,"The question of which cognitive impairments are primarily associated with dyslexia has been a source of continuous debate. This study examined the cognitive profile of Hebrew-speaking compensated adult dyslexics and investigated whether their cognitive abilities accounted for a unique variance in their reading performance. Sixty-nine young adults with and without dyslexia were administered a battery of tests measuring their reading skills and a number of cognitive abilities. The dyslexics were found to exhibit a generally poor cognitive profile, including their attention, visual working memory, naming, visual perception and speed of processing abilities, with the exception of high executive functions skills. Furthermore, naming speed, visual working memory and attention were significantly associated with decoding and fluency measures and predicted group difference after controlling for phonological skills. The findings point to the contribution of cognitive factors to decoding rate and possibly to the ability of utilizing rapid orthographic processes, thus effecting dyslexics’ reading performance."
1,2014719051,the use of woodcock johnson tests for identifying students with special needs a comprehensive literature review,2012,"bashir abuhamour, hanan al hmouz, jihan mattar, mohammad muhaidat",procedia social and behavioral sciences,1,5,44,"Abstract NA NA The NA Woodcock-Johnson Tests (WJ III) NA is a valid and reliable assessment tool of both cognitive abilities and achievement among children and adults. It is based on the most current theoretical model of intelligence, Cattell-Horn-Carroll (CHC) theory. The broad CHC abilities measured on one or more of the WJ Tests are: Long-Term Retrieval ( Glr ), Auditory Processing ( Ga ), Fluid Reasoning ( Gf ), Processing Speed ( Gs ), Short-Term Memory ( Gsm ), Visual-Spatial Thinking ( Gv ), Comprehension-Knowledge ( Gc ), Reading-Writing ( Grw ), and Quantitative Knowledge ( Gq ). The NA WJ III NA proves to be a valuable diagnostic tool to be used to identify exceptional children including high incidence disabilities like head injury, Attention Deficit and Hyperactivity Disorder ADHD; low incidence disabilities such as visual impairment and autism; and gifted students including those with a learning disability. Higher education students have benefit from NA WJ III NA tests as well."
1,2030434472,effects of targeted intervention on early literacy skills of at risk students,2008,"chuang wang, bob algozzine",journal of research in childhood education,1,15,53,"Abstract Reading problems are among the most prevalent concerns in schools; poor readers in elementary school who do not receive special assistance are particularly at risk for dismal academic careers. In a large-scale project, children with serious reading problems received targeted intervention to address critical early literacy skills. The assistance combined focused practice and frequent monitoring to provide instruction needed to improve reading skills. Participating students achieved significant gains in reading performance compared to a control group not receiving intervention. The outcomes of the study relate to continuing efforts to reduce the very large numbers of children failing to achieve early literacy skills in U.S. schools."
1,2069354374,utilizing teacher ratings of student literacy to identify at risk students an analysis of data from the early childhood longitudinal study,2014,"jonathan e titley, rik carl damato, kathrine m koehlerhak",contemporary school psychology,1,2,31,"The identification of children at-risk for reading problems can be costly and time-consuming. Previous research has indicated that teachers are relatively accurate in assessing children's overall reading ability. This study investigated the accuracy of kindergarten and first grade teacher rating scales in predicting children's reading scores on assessments in kindergarten, first, third, and fifth grades. The sample included 8,806 children from the Early Childhood Longitudinal Study-Kindergarten cohort (ECLS-K). Results demonstrated that teacher ratings significantly predicted children's later reading scores through fifth grade. The practical implications of the results are discussed in relation to early identification of children at-risk for learning disabilities in reading."
1,2114473093,relation between 1 minute cbm reading aloud measure and reading comprehension tests a multilevel meta analysis,2008,seungsoo yeo,NA,0,4,175,"University of Minnesota Ph.D. dissertation. December 2008. Major: Educational Psychology. Advisor: Christine Espin.1 computer file (PDF); NA x, 167 pages, appendices A-D."
1,2125379353,addressing false positives in early reading assessment using intervention response data,2015,"athena lentini mcalenney, michael d coyne",learning disability quarterly,1,8,41,"The current study examined a solution to high false positive reading risk classification rates in early kindergarten by investigating a method of identifying students with possible false positive risk classifications and returning them to general classroom instruction. Researchers assessed kindergarten students (N = 105) identified as at risk who were participating in a full-year Tier 2 reading intervention program. Students with very strong initial curriculum mastery (n = 9) were identified as having possible false positive risk classifications and returned to general classroom Tier 1 instruction. Very strong responders who were exited from intervention (i.e., exited strong responders) scored above the risk range across multiple reading measures at the end of the year and performed similarly to a historical comparison cohort who remained in intervention services for the entire year (i.e., treated strong responders). Results suggest that kindergarten students with false positive risk classifications can b..."
1,2181763052,sotsiaal ja haridusteaduskond koolieelse lasteasutuse opetaja oppekava,2011,raili allas,NA,0,0,35,NA
1,2275924901,implications for leaders the correlation between kindergarten report cards and seventh grade achievement in a southern public school district,2015,krista lazarus gilliland,NA,0,0,20,"Kindergarten readiness can have lasting effects on a student’s success in school. This study identified the relationships between the core grade point average (GPA) of seventhgrade students and the skills they mastered on their kindergarten report cards. The study also evaluated which kindergarten skills are more likely to yield a high GPA, and discovered significant differences in kindergarten preparedness and seventh-grade achievement due to gender differences. Both the kindergarten and seventh-grade report cards of 166 students from a southern public school district were measured. Six of the twenty-one kindergarten skills assessed on the first quarter report card yielded significant results that varied by gender. The study also indicated that there was a positive correlation between the number of skills a student mastered and a higher GPA in seventh grade. Recommendations are provided for parents, teachers, school officials, and local preschool programs so that these stakeholders may work together to change the learning culture within the community by ensuring that students begin school academically ready for the classroom, assist students in avoiding the label “at-risk,” and contribute to making academic gains with each passing school year."
1,2290444221,sotsiaal ja haridusteaduskond haridusteaduste instituut koolieelse lasteasutuse opetaja oppekava,2013,krista nigol,NA,0,0,24,NA
1,2308922188,predictive utility and classification accuracy of oral reading fluency and the measures of academic progress for the wisconsin knowledge and concepts exam,2016,"carrie r ball, edward oconnor",assessment for effective intervention,1,2,26,"This study examined the predictive validity and classification accuracy of two commonly used universal screening measures relative to a statewide achievement test. Results indicated that second-grade performance on oral reading fluency and the Measures of Academic Progress (MAP), together with special education status, explained 68% of the variance in third-grade standardized test performance (N = 399). Six methods of dichotomous risk classification were also explored to predict whether students would pass or fail the state test. A random sample of half of the participants was used to establish locally appropriate risk cut-scores, holding sensitivity constant at .95; the cut-scores were then cross-validated on the remaining participants. Cross-validation reflected sensitivity of above .90 for all methods, with MAP Language Usage and two multi-screener methods demonstrating the strongest overall technical adequacy for risk classification. The limitations and implications of these findings are discussed."
1,2324969157,the effectiveness of early screening and intervention for children at risk of reading underachievement,2014,"hyun jeong park, hee jeong bang, min nam",NA,0,0,35,"The purpose of this study was to develop a screening test for children at risk of reading underachievement and to investigate the effectiveness of the early-stage intervention program. In the first part of the study, we recruited 155 elementary first grade students for a screening test. Phonological deletion, digit naming, object naming, and sound-letter correspondence knowledge of a screening test, all assessed at the beginning of the school year, predicted the reading ability at the end of the school year. In the second part of the study, we analyzed the difference in the reading ability between fourteen children who participated in the intervention program and eighteen non-participating children. Reading ability was assessed by evaluating word recognition, oral reading fluency, reading comprehension, and pseudo-word recognition. The reading ability of intervention group improved more compared to control group, and the difference between two groups accentuated over time. However, final analysis conducted in November revealed that two groups did not differ significantly in oral reading fluency. This suggests that, unlike word recognition and comprehension, fluency might not dramatically improve in a short period."
1,2332417372,make word developmentfor phonological awareness training and effect,2011,"kiju kim, 권상남",speech language and hearing,1,0,9,NA
1,2337335910,die rolle der sprache fur zuwanderungsbezogene ungleichheiten im bildungserfolg,2016,"sebastian kempert, aileen edele, dominique rauch, katrin m wolf, jennifer paetsch, annkathrin darsow, jessica tsimprea maluch, petra stanat",NA,0,19,183,"Im vorliegenden Beitrag wird der Forschungsstand zur Rolle der Sprache fur zuwanderungsbezogene Bildungsungleichheiten zusammengefasst und diskutiert. Dabei werden sowohl Kompetenzen in der Zweitsprache (L2) als auch Kompetenzen in der Erstsprache (L1) von Personen mit Zuwanderungshintergrund in den Blick genommen. Fur die L2 zeigen die Ergebnisse belastbarer Studien deutliche Nachteile von Kindern und Jugendlichen mit Zuwanderungshintergrund in den sprachlichen Voraussetzungen und zugleich einen engen Zusammenhang zwischen Sprachkompetenz und der Ruckstellungen von der Einschulung sowie der fachlichen schulischen Leistung. Auch die relative Chance, ein Gymnasium zu besuchen, scheint in erheblichem Mase von den L2-Kompetenzen der Schulerinnen und Schuler abzuhangen, wobei eine Isolierung der Effekte insbesondere von Kompetenzen in anderen Bereichen schwierig ist. Die Rolle der L1 fur den Erwerb der L2 und fur den Bildungserfolg ist dagegen weitgehend ungeklart. Allerdings scheint das Aufwachsen mit mehr als einer Sprache (Bilingualitat) eine Ressource darzustellen, die sich unter gunstigen Bedingungen positiv auf das Erlernen einer weiteren Fremdsprache auswirkt."
1,2477418976,standardization of the comprehensive learning test reading for the diagnosis of dyslexia in korean children and adolescents,2016,"hanik k yoo, jaesuk jung, eunkyung lee, sung hee kang, eun hee park, inwook choi",NA,0,2,37,NA
