ID,Title,Authors,Year,cited_in,context
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2040035146,"In the English-speaking world, there is a strong tradition of preparatory or “emergent” literacy in the years prior to formal reading instruction in school (Lancy, 1994; Strickland & Morrow, 1989; Teale & Sulzby, 1986)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2001666409,"Arnold et al,, 1994; Dale et al,, 1993; Lonigan, 1993; McCormick & Mason, 1986; Morriset, 1993; Novak et al,, 1993; Valdez-Menchaca & Whitehurst, 1992; Whitehurst et al,, 1988, 1994)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2017516928,"A third characteristic of shared reading that should facilitate language acquisition is that children are typically read books a number of times and thus benefit from repetitions of the words and the contexts (Ninio & Bruner, 1978; Snow & Goldfield, 1983; Snow & Ninio, 1986)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2110778189,"A large literature has documented differences in book ownership, shared-reading frequency, and other potentially instructive literacy activities between higher and lower social class groups (eg, Feitelson & Goldstein, 1986; Heath, 1982; McCormick & Mason, 1986; Raz & Bryant, 1990; Teale, 1986; Whitehurst & Lonigan, 1998)."
1490722428,emergent literacy writing and reading,"william h teale, elizabeth sulzby",1986,2165415476,"Emergent literacy skillssupported by activities such as bookreading (Teale & Sulzby,1986) as well as phonological awareness stimulated by phonemictraining appear to be important in shaping the early readingprocess."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,776926243,"Snow et al. (1998) broke emerging literacy into three parts: oral language skills, awareness of the sounds and structure of language and exposure to and experience of print.
There is a compelling argument for educators to provide early intervention in literacy to children from low income families; Stanovich (2000) argued that reading problems are easier to prevent than to fix."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2047531122,", 1998) and as such, features widely as a tool for predicting at-risk children (Catts et al., 2001; Gilbertson & Bramlett, 1998; Jenkins & O’Connor, 2002; Plaza & Cohen, 2003, 2007; Snow et al., 1998; Torgesen, 1998).
Moreover, substantial evidence exists reporting benefits of early intervention programmes compared to remedial programmes offered at a later stage (Bradley & Bryant, 1993; Elbaum, Vaughn, Tejero Hughes, & Moody, 2000; Pikulski, 1994; Slavin et al., 1996; Snow et al., 1998; Van Kleeck, Gillam, & McFadden, 1998).
The discrepancy definition implies that a specific reading difficulty exists when there is a discrepancy between reading achievement and general achievement (Catts & Kamhi, 2005; Snow et al., 1998; Stanovich, 1999)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,97954825,"86 Student Level Predictor Variables Information was collected for potentially outcome-relevant student background characteristics as indicated by other reported research (Chall, 1996; Coker, 2006; Entwisle et al., 2007; Leppanen et al., 2004; Meece & Kurtz-Costes, 2001; Peterson, 2006; Snow et al., 1998; Taylor & Pearson, 2002).
An important goal for literacy research is to identify instructional practices that significantly impact literacy learning (NICHD, 2000; Snow et al., 1998; U.S. Department of Education, 2007).
Given the importance of using quality instructional practices that significantly impact literacy learning (NICHD, 2000; Snow et al., 1998; U.S. Department of Education, 2007), the widespread promotion of interactive writing should be built upon a
Previous research suggests the relationship of early reading skills and explanatory variables (Chall, 1996; Leppanen et al., 2004; Snow et al., 1998; Taylor & Pearson, 2002)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,105531284,"Although some researchers recommend waiting to teach English literacy skills until the students have established an adequate oral base (Gottardo, 2002; Snow et al., 1998; Verhoeven, 1990), the present study suggests that literacy instruction can begin very early.
Based on this result and the findings from the previous reading panels (August & Shanahan, 2006; Snow et al., 1998), it appears that phonics instruction might greatly benefit the students at the Shi Da Fu Elementary School.
Reading Difficulties in Young Children (Snow et al., 1998), which recommended systematic phonics training for English L1 speakers to improve both reading and spelling."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,425908830,"According to the National Research Council report (Snow et al., 1998), word recognition skills and knowledge of text content make separable contributions to reading comprehension.
Following an analysis of five early reading intervention studies, Torgesen (2000) concluded that researchers have yet to discover the conditions necessary for children with the most severe difficulties in the early elementary grades to acquire adequate reading skills."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2024918373,"Extant studies have tended to report predictions that range from concurrent to three years forward, and have reported sensitivities ranging between 56% and 92%, with specificities somewhat better at 80% to 92% (see review by  Snow, Burns, & Griffin, 1998 ).Reviews of prediction paradigms (Scarborough, 1998; Torgesen, 1998;  Snow et al., 1998 ) have noted that phonemic awareness and fluency variables seem essential to effective prediction, and Scarborough (1998) was insightful in noting that vocabulary is equally important.It is generally accepted ( Snow et al., 1998 ) that effective prediction paradigms require more than one predictor variable.The question left by the current state of prediction studies is then simply this: would the inclusion of all four constructs, already identified as necessary by separate reviewers (Scarborough, 1998; Torgesen, 1998;  Snow et al., 1998 ) yield stronger and more efficient predictions?"
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2035836077,", 1998) and emergent literacy and reading success in particular (Poe, Burchinal, & Roberts, 2004; Scarborough, 2001; Senechal, Ouellette, & Rodney, 2006; Snow et al., 1998).
Children’s language development is an important predictor of school success in general (Dickinson & Tabors, 2001; McCardle et al., 2001; NICHD Early Child Care Research Network, 2002; Snow et al., 1998) and emergent literacy and reading success in particular (Poe, Burchinal, & Roberts, 2004; Scarborough, 2001; Senechal, Ouellette, & Rodney, 2006; Snow et al."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2039412409,"Phonological awareness is critical for word reading (Snow, Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2056270013,"The long list of precursors includes literacy-related abilities such as identification of letters, but it also includes various language-related abilities, both general and specific skills, as well as visual and motor skills (for concise reviews, see Scarborough, 2002; Snow, Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2080068233,"Alphabetic understanding (AU) is particularly important to acquire in the preschool years (Gunn et al., 1998, 2001; NELP, 2008; Snow et al., 1998; Speece, Mills, Ritchey, & Hillman, 2003), especially for at-risk children who are substantially behind their peers in foundational skills (Roberts, 2003).
Early vocabulary skills also significantly predict later reading outcomes, in particular reading comprehension (Catts, Hogan, & Adolf, 2005; Cunningham & Stanovich, 1997; NICHD, 2005; Perfetti, Marron, & Foltz, 1996; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2092832578,"In addition to letter knowledge, print concept awareness is another important factor in learning to read (eg,  Snow, Burns, & Griffin, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2155264932,"Accumulating evidence reveals a number of child literacy skills in preschool and kindergarten that consistently predict later reading and academic success, including alphabet knowledge, phonological awareness, letter–word recognition, and phonological decoding (NICHD ECCRN, 2005; Poe, Burchinal, & Roberts, 2004; Rayner et al,, 2001; Scarborough, 1998; Schatschneider, Fletcher, Francis, Carlson, & Foorman, 2004; Snow, Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2163249987,"Learning that the alphabet is a symbolic system representing speech sounds (Snow et al., 1998; Whitehurst & Lonigan, 1998) is an important stage in a child’s literacy development (Foulin, 2005)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,52560609,"It is beneficial to examine other risk factors that could provide additional information about how readily a child is likely to read (Snow et al., 1998).
Letter identification is one of the strongest predictors among reading readiness skills (Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,175238283,"Parental talk also facilitates children to use language for expressing their experience in literate ways (Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1593724350,"This finding was again consistent with previous literature surrounding the effects of gender on language and literacy in childhood (Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1969403699,"Census Bureau (2000), nearly 28.
Increased risk factors for childrenwith LEP include poor oral language proficiency, low socioeconomic status, limited access to print in the home, and poor vocabulary knowledge (Diener et al., 2003; Snow et al., 1998; Vernon Feagans et al., 2002)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1990511152,"In recent years, increased attention has been placed on promoting the scientific basis of early literacy instruction, given such public policy initiatives as the No Child Left Behind Act of 2001 and federally commissioned reports such as the National Research Council's  Preventing Reading Difficulties in Young Children  ( Snow, Burns, & Griffin, 1998 ) and the National Reading Panel's  Teaching Children to Read: An Evidence-Based Assessment of the Scientific Research Literature on Reading and its Implications for Reading Instruction  ( National Institute of Child Health and Human Development, 2000b )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2002521454,"Consistent with a preventive model for reducing the incidence of reading disabilities (Snow et al., 1998), the provision of preschool emergent literacy intervention has emerged as a seemingly powerful vehicle for reducing the risk for later problems with conventional literacy (e."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2005750438,"Practitioners and researchers are becoming increasingly interested in the early identification of reading disabilities (Scarborough, 1998; Snow et al., 1998).
Research demonstrating the long-term stability of reading problems (Juel, 1988; Scarborough, 1998) has led to an emphasis on early intervention (Fey, Catts, & Larrivee, 1995; Snow et al., 1998; van Kleeck, Gillam, & McFadden, 1998).
Though it is well accepted that children’s language abilities lay the groundwork for reading achievement (Catts et al., 1999; Catts & Kamhi, 1999; Scarborough, 1990; Snow et al., 1998), learning to read likely influences spoken language development."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2031124405,"Reading ability in English in considered crucial to success in North American society (August & Hakuta, 1997; Snow, Burns, & Griffin, 1999)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2035011869,"Converging evidence suggests that literacy abilities such as spelling, reading decoding, reading comprehension, and reading fluency are related to phonological awareness skills both concurrently and longitudinally (e.g., Bradley & Bryant, 1983; Snow et al., 1998; Wagner & Torgesen, 1987)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2067025060,"Certainly, it is widely accepted that (a) children have learned much that is important about literacy before formal reading instruction begins (Bishop & Leonard, 2000;  Snow, Burns, & Griffin, 1998 ); (b) this need for engagement in a child’s literacy development has to start early (Morgan & Goldstein, 2004; Rutter & Mawhood, 1991); and (c) there is significant variability in the amount of early shared language and literacy ...As others have pointed out (Senechal, 2006;  Snow et al., 1998;  Wasik, Bond, & Hindman, 2002; Whitehurst et al., 1994), such findings have underpinned the need for the development of literacy and intervention programs that aim to encourage children’s vocabulary, language, and book reading in low-SES communities and for early childhood teachers to ensure that they incorporate significant language and vocabulary development into ..."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2113906247,"impairments or other disabilities, and children who have limited proficiency in English are most in danger of entering school without the necessary precursor literacy skills and experiences (Bracken & Fischel, 2008; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,55615090,"As Sousa (2005) explained, we live in a society in which one prerequisite to success is the ability to read proficiently because reading serves as the
Learning to Read According to Sousa (2005), reading is a complex process that involves a variety of skills and abilities that enable individuals to construct linguistic meaning from written representations of language.
smaller components such as sentences into words, words into syllables, and syllables into individual phonemes (Sousa). Stanovich (1994) defined phonological awareness as the ability to deal explicitly with sound units smaller than the syllable."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,204177631,"Poor students who go to schools that have a large population of students in poverty face an added impediment to their learning (Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,617401849,"There is now a vast literature indicating that phonological processing (including phonological awareness, rhyming, phonological memory, and rapid automatized naming) is critical for success in reading (e.g., Adams, 1990; Goswami & Bryant, 1990; National Reading Panel, 2000; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1879867170,"Research shows that early language experiences and emergent literacy are important precursors for children’s language development and reading success in the later years (Snow et al., 1998).
Wei and Zhou (2012) suggest that second language acquisition and academic achievement requires strong parental support because parents have the advantage of using students’ home language during intervention activities and exercises.
and early exposures to literacy are important precursors for children’s language development and reading success in later years (Snow et al., 1998).
and early exposures to literacy are important precursors for children’s language development and reading success in later years (Snow et al., 1998). Moreover, parenting practices seem to be strong predictors of early literacy skills (NICHD Early Child Care Research Network, 2003). As suggested by Snow et al. (1998) it is the quality of parental interactions with the children that make the most effect."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2012388668,"Research has shown that a disproportionate number of children in poverty enter kindergarten with less alphabet, phonological, and vocabulary knowledge than their middle-income peers ( Bowman, Donovan, & Burns, 2001 ;  Lee & Burkam, 2002 ;  Snow, Burns, & Griffin, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2053379093,"Learning about print during the preschool years helps prepare young children for later reading and writing (Snow et al., 1998; Whitehurst & Lonigan, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2072472269,"Understanding and promoting the development of reading and writing skills in young children before they enter formal schooling appears central to ensuring school success ( Snow, Burns, & Griffin, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2073579176,"Because the type of dialogue characteristic of meaning and language instruction is ideal for maximizing language growth in young children and for facilitating the acquisition of reading skills ( Allison & Watson, 1994 ;  Pressley, 1998 ;  Snow, Burns, & Griffin, 1998 ), these results imply that early literacy emerges in part from a relational system involving caregiver—child interactions that have properties not directly involving print (Pianta, in press;  Snow et al, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2100847219,"Although many studies have shown that specific early language and literacy practices predict later language and reading achievement (eg, Dickinson & Tabors, 2001; Evans, Shaw, & Bell, 2000; Griffin & Morrison, 1997; Hart & Risley, 1995; Huttenlocher, Haight, Bryk, Seltzer, & Lyons, 1991; Senechal & LeFevre, 2002; Snow, Burns, & Griffin, 1998; Whitehurst & Lonigan, 1998), much less is known about the nature and frequency of early mathematical interactions and about the extent to which these interactions predict the development of childrens mathematical knowledge."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2182663478,"A healthy literacy environment forms the basis for a positive socioemotional adjustment at school (Ortiz, 2004; Snow et al., 1998; Weigel et al., 2005).
Consequently, if learners enter school lacking the necessary prior knowledge, they are likely to continue performing below grade level as they progress through the schooling system (Perie et al., 2005; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,818903977,"Effective interventions in early reading target multiple components of the reading process in an integrated and comprehensive manner, including concepts of print, oral language, phonological and phonemic awareness (PA), letter knowledge, word recognition, fluency, and comprehension (see Foorman & Torgesen, 2001; National Reading Panel, 2000; Pressley, 1998; Rayner, Foorman, Perfetti, Pesetsky, & Seidenberg, 2001; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2136285594,"Most previous studies of letter learning have been confined to English, a single and arguably unusual writing system ( Share, 2008 ).The present study was motivated by the need to go beyond the Latin alphabet, which has been the focus of most previous research on letter learning and literacy development more generally ( Share, 2008 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2342362450,"Although studies conducted in other countries showed that DR have continuing effects in later years (e.g. Nelson, 2005; Snow et al., 1998; Spira et al., 2005; Vellutino et al., 2003), we cannot claim the same to be true for Turkish kindergarteners due to cultural differences."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2157789199,"Family income and parents education levels have also been associated with a variety of literacy skills in previous work (eg, Snow, Burns, & Griffin, 1998; Whitehurst & Lonigan, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2022848219,"Indeed, problems in acquiring word-level reading are the principal difficulties faced by children who encounter reading problems in the primary grades (Snow, Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2012168604,"There is considerable evidence that phonological awareness (PA), the awareness of the sound structure of words and the ability to manipulate sounds in words, is a key component in the development of reading ability and that poor PA is a, or perhaps the, core deficit in reading disability (Adams, 1990; Goswami & Bryant, 1990; National Reading Panel, 2000; Scarborough, 1998a; Share & Stanovich, 1995; Snow, Burns, & Griffin, 1998; Wagner, Torgesen, Laughon, Simmons, & Rashotte, 1993)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2035353554,"Research to date has demonstrated that a weakness in any one of these skills can contribute to the reading difficulties that many children encounter (Badian, 1993; Shankweiler et al., 1995; Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2147324063,"In a language with an alphabetic orthography, the spoken language is represented in spelling using letters and diacritics ( Snow, Burns, & Griffin, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1996711433,"Thus, one recommendation for future research ontutorial or small-group methods to prevent reading disabilities isthat it should be conducted within the context of a regularclassroom curriculum in reading that incorporates the kind of“balance” between word level and comprehension skills that iscurrently recommended by most experts in the field (Snow,Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2063693992,"Both of our recent consensus documents (National Reading Panel, 2000; Snow et al., 1998) identified the critical components of early reading instruction as including explicit teaching to build phonemic awareness and phonemic decoding skills, fluency in word recognition and text processing, reading comprehension strategies, oral language vocabulary, spelling,
Knowledge of and active application of specific reading strategies are also helpful to maximize reading comprehension (Snow et al., 1998), but most of the variability among children and adults in comprehension of written material can be accounted for by measuring the two broad families of skills identified in Gough’s simple view of reading (Gough, 1996; Hoover & Gough, 1990).
The report from the National Research Council (Snow et al., 1998) concluded that the most efficient way to prevent reading difficulties was to insure that every child received high quality balanced reading instruction in the early elementary grades.
When the solid foundations for reading growth are established in the early primary grades, further reading growth is dependent almost entirely on the breadth and depth of the child’s reading experience and practice (Snow et al., 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2085838618,"Syntheses of research on PA have concluded that by the end of kindergarten, most students can isolate and pronounce the beginning sound of a word, and by mid-first grade, they can isolate and pronounce all the sounds in two- and three-phoneme words ( Snow, Burns, & Griffin, 1998 ;  Torgesen & Mathes, 2000 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2150560657,"Hence, early identification and treatment of children at risk for literacy problems is an important goal ( Snow, Burns, & Griffin, 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2165415476,"We propose that “outside-in” and “inside-out” factors(Whitehurst & Lonigan, 1998) are both indispensable in earlyreading (see also Snow, Burns, & Griffin, 1998)."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1974843622,"The commonalities between spoken language competencies and reading ability have been confirmed empirically in numerous studies reporting significant correlations between various language abilities at or before school entry and reading achievement in the early grades (see, for reviews, Scarborough, 1998;  Snow, Burns, & Griffin, 1998;  Whitehurst & Lonigan, 1998).There is little dispute, in scientific circles at least, that phonological abilities play an important causal role in early reading (Adams, 1990; Harm & Seidenberg, 1999; National Reading Panel, 2000; Perfetti, 1999; Share & Stanovich, 1995;  Snow et al., 1998;  Snowling, 1991; Wagner & Torgesen, 1987), enabling the learner to appreciate the nature of the alphabetic code and to develop a working knowledge of how to decode and ..."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,1977396365,"Notwithstanding nearly three decades of correlational and intervention studies that have clearly established predictors of future reading achievement among monolinguals (e.g.,  Snow, Burns, & Griffin, 1998;  Stanovich, 2000), and despite ample cross-linguistic evidence of the role of phonological awareness in bilinguals (e.g., Comeau, Cormier, Grandmaison, & Lacroix, 1999), there is little research addressing the use of phonological ...,The response variables for this study were selected based on the evidence suggesting their predictive strength for future reading achievement ( Snow et al., 1998 )."
1501218279,preventing reading difficulties in young children,"catherine e snow, m susan burns, peg griffin",1998,2086649641,"PA, or the ability to recognize, discriminate, and manipulate linguistic sounds apart from their meanings, is an important skill in learning to read in both Spanish and English (Liberman, Shankweiler, & Liberman, 1989; National Reading Panel, 2000; Snow, Burns, & Griffin, 1998)."
1505684780,the relationship between rapid naming and word spelling in english,"rhona stainthorp, daisy powell, morag stuart",2013,2050199801,Those children who performed low on RAN were significantly poor in spelling (Stainthrop et al. 2013).
1507998909,family literacy programs where have they come from and where are they going,antoinette doyle,2012,81308518,"In her historical overview, Doyle (2012) asserts that the work of Piaget and Vygotsky was especially pertinent in driving initial inquires into how young children develop language
In the 1990s, there was a burgeoning focus on intervention, driven by a federal mandate to fund early intervention programs (Doyle, 2012).
This characteristic Head Start, on the other hand, still in existence today, attempted to address a wider array of family needs and provide a wider range of social service supports (Doyle, 2012)."
1510822288,using curriculum based measurement to establish growth standards for students with learning disabilities,"stanley l deno, lynn s fuchs, douglas marston, jongho shin",2001,2117075868,"These results reinforce suggestions made by other researchers that oral reading fluency needs to be addressed concomitantly with decoding and word recognition in first grade for students with SI or LI (Deno et al., 2001; Speece & Ritchey, 2005)."
1517482401,alphabetic access route in beginning reading acquisition in portuguese the role of letter name knowledge,"monica dourado de abreu, claudia cardosomartins",1998,2046154362,"In the sound series the spellings included letters whose sounds, but not their name, could be detected in the pronunciation of the word, like TM for “tame.” They found that not-yet-readers learned to recognize and spell the words in the name series faster than they did the words in the sound series (see also  de Abreu & Cardoso-Martins, 1998;  Levin, Patel, Margalit, & Barad, 2002)."
1517482401,alphabetic access route in beginning reading acquisition in portuguese the role of letter name knowledge,"monica dourado de abreu, claudia cardosomartins",1998,1974337595,"Subsequent studies have shown that even younger preschoolers were able to benefit from letter-name cues to learn phonetic spellings ( de Abreu & Cardoso-Martins, 1998;  McBride-Chang & Treiman, 2003; Treiman & Rodriguez, 1999; Treiman, Sotak, & Bowman, 2001)."
1522202957,the abcs of the abcs the development of letter name and letter sound knowledge,catherine mcbridechang,1999,20614457,"The second hypothesis, or the letter-order hypothesis, stated that children learn the letters that occur earlier in the alphabet first rather than the letters occurring at the end of the alphabet (McBride-Chang, 1999).
the letter first (McBride-Chang, 1999; Treiman & Broederick, 1998; Treiman, Tincoff, & Richmond-Welty, 1997)."
1522202957,the abcs of the abcs the development of letter name and letter sound knowledge,catherine mcbridechang,1999,97954825,"Alphabet knowledge refers to knowledge of the names and sounds made by letters of the alphabet (McBride-Chang, 1999).
Furthermore, letter-name knowledge and letter-sound knowledge contribute unique variance in reading acquisition (Foy & Mann, 2006; McBride-Chang, 1999)."
1522202957,the abcs of the abcs the development of letter name and letter sound knowledge,catherine mcbridechang,1999,1873266330,"Another aspect is that both letter name and letter-sound knowledge have specific predictive influences on reading achievement in literacy development (Caravolas, Hulme and Snowling, 2001; Ellis and Large, 1988; McBride-Chang, 1999; Wagner et al., 1994).
Moreover, the letter-sound knowledge level in kindergartners and first graders was consistently highest for letter sounds related to CV letter names, intermediate for letter sounds related to VC letter names, and lowest for letter sounds unrelated to letter names (McBride-Chang, 1999; Treiman et al., 1998; Treiman et al., 1994)."
1522202957,the abcs of the abcs the development of letter name and letter sound knowledge,catherine mcbridechang,1999,2025571827,"Although our sample size was based on a priori power analyses and effect sizes in the extant literature (e.g., Levin et al., 2006; McBride-Chang, 1999; Share, 2004), actual effects were smaller than anticipated.
Support for the idea that letter name knowledge is used to acquire letter sound knowledge is provided by the letter name structure effect (e.g., Evans et al., 2006; Justice et al., 2006; McBride-Chang, 1999; Piasta, 2006; Treiman et al., 1998).
When children’s patterns of alphabet acquisition are examined, a letter name structure effect is apparent: letter names and sounds are most likely to be known for letters that include cues to their sounds as opposed to letters with unrelated names and sounds (Justice et al., 2006; McBride-Chang, 1999; Piasta, 2006; Treiman et al., 1998)."
1522202957,the abcs of the abcs the development of letter name and letter sound knowledge,catherine mcbridechang,1999,2072292880,"Researchers have hypothesized that the phonological structure of letter names can facilitate the process of letter-sound learning, as many letter names serve as cues to corresponding phonemes (Adams, 1990; Ehri, 2005; Foulin, 2005; McBride-Chang, 1999; Share, 2004; Treiman, Pennington, Shriberg, & Boada, 2008; Treiman & Rodriguez, 1999).
Subsequent studies have utilized longitudinal (McBride-Chang, 1999) and experimental (de Jong, 2007; Piasta & Wagner, 2010; Acquisition of the alphabetic principle 511"
